[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.50, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22631056132287E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.28366051540587E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.74532338713654E+000 0.00000000000000E+000 0.30000000000000E+003 0.50231375156131E-002 -.12993059509134E+003 0.28366051540587E-001 0.10132500000000E+006 0.11460056082616E-002 0.28211492351544E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30000000000000E+003 -.32467152842119E-032
   2 -.44621247954381E+000 0.27642924009165E-006 0.89415773286076E-027 0.97100551996466E-021 0.22631150591497E+000 0.12884124413005E-018 0.14031066079288E-005 0.50761453084992E-009 0.16155036181082E-031 0.83410857067675E-033 0.23703954011051E-014 0.28364430236949E-001 0.54581987013605E-007 0.11451565519752E-007 0.32111828114814E-027 0.19682921263536E-009 0.20371716356428E-018 0.10110977813599E-009 0.46290508718990E-026 0.31977207249369E-010 -.30252206676081E-023 0.38534655004635E-013 0.74532231744111E+000 0.11261935113228E-029 0.30001291191818E+003 0.50231375156131E-002 -.12992871489616E+003 0.28366051540587E-001 0.10132500000000E+006 0.11459528107176E-002 0.28211406780855E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30001291191818E+003 0.23309601850320E-013
   3 -.39350927998708E+000 0.64112330427183E-006 0.26354301914037E-025 0.29835748491826E-020 0.22631382877721E+000 0.15782140041664E-017 0.50786395878055E-005 0.20159399924256E-008 0.73749489392072E-030 0.38087877289066E-031 0.88369205846284E-014 0.28360447228769E-001 0.21709782813327E-006 0.59428517232067E-007 0.20498194396319E-025 0.10300995620629E-008 0.29742983317939E-017 0.51343999030191E-009 0.29176974844128E-024 0.17924565191070E-009 -.95297060736470E-023 0.15429563981769E-012 0.74531972396589E+000 0.77079459689679E-030 0.30004905555843E+003 0.50231375156131E-002 -.12992284080922E+003 0.28366051540587E-001 0.10132500000000E+006 0.11458107731115E-002 0.28211308365781E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30004905555843E+003 0.29224186086025E-012
   4 -.34344574640137E+000 0.11027043212514E-005 0.44031008297580E-024 0.70192523335756E-020 0.22631859071197E+000 0.13172651638001E-016 0.14082183084901E-004 0.61868036666397E-008 0.17620378277566E-028 0.91039133936517E-030 0.25309767627179E-013 0.28351313967226E-001 0.66737785425836E-006 0.24394504906407E-006 0.70778549940019E-024 0.42669926010978E-008 0.26055821788111E-016 0.20587385834368E-008 0.10581364740789E-022 0.79945511134858E-009 -.21792784353471E-022 0.47778629466058E-012 0.74531398579801E+000 -.32477401991621E-029 0.30014297764394E+003 0.50231375156131E-002 -.12990654179854E+003 0.28366051540587E-001 0.10132500000000E+006 0.11454482139278E-002 0.28211209678922E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30014297764394E+003 0.24641866724430E-011
   5 -.29767229975760E+000 0.16542543940236E-005 0.54494455554952E-023 0.14664908249716E-019 0.22632650699249E+000 0.85381090949737E-016 0.33963704187404E-004 0.16496031802518E-007 0.28419498371039E-027 0.14697233370739E-028 0.63054079123738E-013 0.28332483540906E-001 0.17824157433271E-005 0.86340912541455E-006 0.16369974535406E-022 0.15234860308543E-007 0.17268070252217E-015 0.71237932383072E-008 0.25887314695000E-021 0.30645258017385E-008 -.40725521275729E-022 0.12852346507991E-011 0.74530270376259E+000 -.10137033481172E-028 0.30036153454307E+003 0.50231375156131E-002 -.12986749941139E+003 0.28366051540587E-001 0.10132500000000E+006 0.11446114098103E-002 0.28211127772525E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30036153454307E+003 0.16164405811153E-010
   6 -.25766491449771E+000 0.22670052615539E-005 0.50342639506737E-022 0.28265206476783E-019 0.22633647651424E+000 0.42553741126805E-015 0.72161321715091E-004 0.38404763651092E-007 0.30958901952324E-026 0.16040065215298E-027 0.13813466650511E-012 0.28298724107833E-001 0.41560981780610E-005 0.25933057311154E-005 0.24683031989113E-021 0.46115075320561E-007 0.87808717986426E-015 0.20969879240618E-007 0.41058807816600E-020 0.98831282788263E-008 -.64196541570263E-022 0.30163185134674E-011 0.74528350627103E+000 -.58331311097667E-028 0.30080100153081E+003 0.50231375156131E-002 -.12978905418642E+003 0.28366051540587E-001 0.10132500000000E+006 0.11429368021457E-002 0.28211069943819E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30080100153081E+003 0.82196140059456E-010
   7 -.22414807606233E+000 0.28979510113437E-005 0.33471282260618E-021 0.51271201040597E-019 0.22634465227965E+000 0.16055475134154E-014 0.13492550349562E-003 0.77666115702343E-007 0.22393392363524E-025 0.11638336559289E-026 0.26583840736869E-012 0.28246827878675E-001 0.84164045638765E-005 0.65105507338707E-005 0.23516558397917E-020 0.11652716103462E-006 0.34024308220797E-014 0.51757682174368E-007 0.40750740189658E-019 0.26351023937808E-007 -.88317515683554E-022 0.61420956911683E-011 0.74525549712348E+000 -.13785926339243E-027 0.30155150523845E+003 0.50231375156131E-002 -.12965814347547E+003 0.28366051540587E-001 0.10132500000000E+006 0.11400901924485E-002 0.28211018975354E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30155150523845E+003 0.32039029894315E-009
   8 -.19682914004884E+000 0.35085985007802E-005 0.15986966685549E-020 0.88901802480830E-019 0.22634577072040E+000 0.46647377349820E-014 0.22411479344766E-003 0.13764182489307E-006 0.11064352605359E-024 0.57763510778243E-026 0.45459439673057E-012 0.28177475005444E-001 0.14933484089704E-004 0.13776153456392E-004 0.14520503334668E-019 0.24786216334016E-006 0.10249471276586E-013 0.10800935878346E-006 0.25935495934074E-018 0.58578838733436E-007 -.11022677526062E-021 0.10947515301581E-010 0.74521986914106E+000 -.29502581549665E-027 0.30265274702019E+003 0.50231375156131E-002 -.12947318128115E+003 0.28366051540587E-001 0.10132500000000E+006 0.11359385913247E-002 0.28210938679687E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30265274702019E+003 0.97517800118659E-009
   9 -.17472952690277E+000 0.40773135316748E-005 0.57218066467962E-020 0.14885864619610E-018 0.22633556704608E+000 0.10911655626861E-013 0.33722083140231E-003 0.21835099893819E-006 0.39945320003844E-024 0.20975256126793E-025 0.70661699164608E-012 0.28094221604581E-001 0.23714504948500E-004 0.25228269522105E-004 0.62395884193059E-019 0.45579563120149E-006 0.25084870640703E-013 0.19559930063683E-006 0.11377191253533E-017 0.11166065740031E-006 -.12903737741560E-021 0.17448333689104E-010 0.74517898900516E+000 -.55514903013095E-027 0.30408678565131E+003 0.50231375156131E-002 -.12924315866086E+003 0.28366051540587E-001 0.10132500000000E+006 0.11305758664739E-002 0.28210794755856E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30408678565131E+003 0.24187580397973E-008
  10 -.15670176390900E+000 0.45982086396058E-005 0.16305781618349E-019 0.24203773479684E-018 0.22631184960298E+000 0.21641533929448E-013 0.46982364153492E-003 0.31769486135546E-006 0.11381163665449E-023 0.60172381490908E-025 0.10236415013428E-011 0.28001216670409E-001 0.34535390978698E-004 0.41257678658908E-004 0.20281712079771E-018 0.74784844288391E-006 0.52416155183502E-013 0.31699777712299E-006 0.37459319258753E-017 0.18868383017449E-006 -.14509792279211E-021 0.25485214326189E-010 0.74513514755530E+000 -.78804034649781E-027 0.30580541214213E+003 0.50231375156131E-002 -.12898081873316E+003 0.28366051540587E-001 0.10132500000000E+006 0.11242129693459E-002 0.28210567395592E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30580541214213E+003 0.51298894803808E-008
