[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
  11 -.32041460032013E-001 0.52311327265784E-004 0.14010796709504E-015 0.33825126056659E-010 0.22005884866321E+000 0.99600506058072E-010 0.52746052252181E-004 0.14662609027722E-006 0.24847969670697E-016 0.12785793065176E-017 0.52568923639511E-008 0.55065988855344E-001 0.78289731334729E-005 0.61727549614187E-006 0.92866605685506E-016 0.59580859517910E-007 0.28663991115800E-009 0.36716116620918E-007 0.93940468752904E-013 0.33550348635016E-007 0.22160940059107E-018 0.45358397876113E-010 0.72476137665747E+000 -.97247361317269E-024 0.30050379091904E+003 0.43367742494133E-001 -.25422525066196E+003 0.55167226685570E-001 0.10132500000000E+006 0.11199435014600E-002 0.27616213519190E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30050379091904E+003 0.24274633661232E-004
  12 -.22015401266016E-001 0.85914602393690E-004 0.47611078390045E-014 0.11323346339963E-009 0.22007936472632E+000 0.15008138071379E-008 0.26492042966335E-003 0.89844474879359E-006 0.18645630198527E-014 0.97132436821946E-016 0.26574763447968E-007 0.54792973759725E-001 0.48319930492066E-004 0.66665477963247E-005 0.13722234936084E-013 0.64868148085663E-006 0.80001809518871E-008 0.38066740217113E-006 0.49532483501782E-011 0.42505841262014E-006 0.91116246649855E-018 0.28390966529996E-009 0.72471945067369E+000 -.61372104736461E-023 0.30289755328677E+003 0.43367742494133E-001 -.25343708511270E+003 0.55167226685556E-001 0.10132500000000E+006 0.11107177203900E-002 0.27606892784330E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30289755328677E+003 0.63689417135766E-003
  13 -.16955425347724E-001 0.11063225436311E-003 0.32619322038197E-013 0.22060234464017E-009 0.22004422919839E+000 0.55758481411545E-008 0.59826443410329E-003 0.22408316849514E-005 0.15375557615425E-013 0.81371148495693E-015 0.60084265523950E-007 0.54432054216242E-001 0.12132852111087E-003 0.22169634459605E-004 0.16384468209872E-012 0.21478432767464E-005 0.43228057779890E-007 0.12405972530451E-005 0.40609123760246E-010 0.15304963430462E-005 0.18634995468388E-017 0.71790522337626E-009 0.72466405210528E+000 -.15888602799646E-022 0.30687724445303E+003 0.43367742494133E-001 -.25236903996525E+003 0.55167226685549E-001 0.10132500000000E+006 0.10960620243445E-002 0.27600559087646E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30687724445303E+003 0.35033691141335E-002
  14 -.14151201452324E-001 0.12745619452433E-003 0.98451208971298E-013 0.33041494882990E-009 0.21996101033487E+000 0.11057028464323E-007 0.93626647814442E-003 0.37032971754414E-005 0.47553085842241E-013 0.25562143268386E-014 0.95409814400406E-007 0.54104113188276E-001 0.20156206479219E-003 0.43012901846072E-004 0.61913395326718E-012 0.41438018761755E-005 0.10778452450627E-006 0.23805407226464E-005 0.12754689042013E-009 0.31039995937020E-005 0.27682242511439E-017 0.11972196641506E-008 0.72461303129086E+000 -.26851276404165E-022 0.31104270103724E+003 0.43367742494133E-001 -.25139040630684E+003 0.55167226685545E-001 0.10132500000000E+006 0.10812108540445E-002 0.27596148552771E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31104270103724E+003 0.90132781859996E-002
  15 -.12292495924096E-001 0.14011265583507E-003 0.20886012938873E-012 0.44020277273500E-009 0.21985197620962E+000 0.17132488477681E-007 0.12558835589607E-002 0.51483695058272E-005 0.99311000915906E-013 0.54167820722216E-014 0.13076544339526E-006 0.53816224689187E-001 0.28138266343775E-003 0.66475590620587E-004 0.14649465805451E-011 0.63709926756088E-005 0.19475865648187E-006 0.36528843347987E-005 0.26781263501013E-009 0.49401162272714E-005 0.35956805982215E-017 0.16754650788040E-008 0.72456748722775E+000 -.37782588960638E-022 0.31506143596918E+003 0.43367742494133E-001 -.25052835156675E+003 0.55167226685543E-001 0.10132500000000E+006 0.10672824932478E-002 0.27592604530078E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31506143596918E+003 0.16799155142076E-001
  16 -.10870326420547E-001 0.15072676020438E-003 0.37661655371117E-012 0.55539336653727E-009 0.21972322370178E+000 0.23787386091715E-007 0.15684343187936E-002 0.66063431501912E-005 0.17391503196097E-012 0.96199113039201E-014 0.16761159712420E-006 0.53550097035282E-001 0.36236885005618E-003 0.92437854309924E-004 0.28022277934156E-011 0.88160864314901E-005 0.30358122438513E-006 0.50526096164184E-005 0.46848881297778E-009 0.70249800907031E-005 0.43899039537053E-017 0.21616596678600E-008 0.72452471329118E+000 -.48632594839016E-022 0.31904939432935E+003 0.43367742494133E-001 -.24972956387393E+003 0.55167226685541E-001 0.10132500000000E+006 0.10538196431103E-002 0.27589401331782E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31904939432935E+003 0.26974951678506E-001
  17 -.96899850211620E-002 0.16021706087167E-003 0.62163156371200E-012 0.68043816559409E-009 0.21957576965387E+000 0.31128923699544E-007 0.18822626755706E-002 0.81071736898648E-005 0.27693079345757E-012 0.15531366260273E-013 0.20722289139818E-006 0.53295034890310E-001 0.44614681861984E-003 0.12118107246078E-003 0.47701817863104E-011 0.11502997817237E-004 0.43600817009113E-006 0.65954314829075E-005 0.74178514185448E-009 0.93811849524304E-005 0.51789218474279E-017 0.26653730471634E-008 0.72448312258709E+000 -.59900557565404E-022 0.32310171824828E+003 0.43367742494133E-001 -.24896213767504E+003 0.55167226685539E-001 0.10132500000000E+006 0.10404862607155E-002 0.27586314312478E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.32310171824828E+003 0.39881108924778E-001
  18 -.86652005003587E-002 0.16900426991516E-003 0.97073365736691E-012 0.81860209899414E-009 0.21940990501377E+000 0.39249724381252E-007 0.22013063752054E-002 0.96656155864612E-005 0.41542891170885E-012 0.23622105853561E-013 0.25050009539534E-006 0.53046038348301E-001 0.53352932002134E-003 0.15290384799288E-003 0.75381914469975E-011 0.14447084180394E-004 0.59394719490418E-006 0.82921270227428E-005 0.11024013629567E-008 0.12027435023618E-004 0.59767710390833E-017 0.31913974845364E-008 0.72444199174462E+000 -.70566529637537E-022 0.32726404278692E+003 0.43367742494133E-001 -.24821084953648E+003 0.55167226685538E-001 0.10132500000000E+006 0.10271383415870E-002 0.27583241057008E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.32726404278692E+003 0.55913279281928E-001
  19 -.77509083463604E-002 0.17730841586756E-003 0.14593353648239E-011 0.97264764441982E-009 0.21922589647596E+000 0.48228307576753E-007 0.25272976658911E-002 0.11288129809482E-004 0.59794518281213E-012 0.34472093768788E-013 0.29816341655348E-006 0.52800698729988E-001 0.62487723726126E-003 0.18772290685169E-003 0.11304495741275E-010 0.17655648190602E-004 0.77909781831865E-006 0.10148911757530E-004 0.15669533409001E-008 0.14976850687365E-004 0.67909339995864E-017 0.37418507799368E-008 0.72440099724335E+000 -.81320077512171E-022 0.33155627826293E+003 0.43367742494133E-001 -.24746810483339E+003 0.55167226685536E-001 0.10132500000000E+006 0.10137269194569E-002 0.27580129308596E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33155627826293E+003 0.75493469837152E-001
  20 -.69203366938048E-002 0.18525904533212E-003 0.21346530075221E-011 0.11452157259495E-008 0.21902405532128E+000 0.58137802834532E-007 0.28609440848142E-002 0.12977242401610E-004 0.83467619660501E-012 0.48787881943020E-013 0.35086306300935E-006 0.52557776291412E-001 0.72033340894643E-003 0.22570637009825E-003 0.16298300932673E-010 0.21131282065831E-004 0.99292885214419E-006 0.12169357276400E-004 0.21540338928709E-008 0.18238917597562E-004 0.76259364631892E-017 0.43175568234897E-008 0.72435999911293E+000 -.91106634935198E-022 0.33598620033785E+003 0.43367742494133E-001 -.24672975751254E+003 0.55167226685535E-001 0.10132500000000E+006 0.10002457796648E-002 0.27576949936846E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33598620033785E+003 0.99071267824824E-001
