[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         200
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.90, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Burner stabilized flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Tsolid           Press            Density          MeanMass         Surface          Stretch          Porosity         DensSolid        HeatRel         
  11 -.24875705072706E-001 0.35530738658579E-004 0.14594292119704E-015 0.28723004864190E-010 0.22123273522213E+000 0.54014734846123E-010 0.50177263285432E-004 0.10591900592368E-006 0.69492688921314E-017 0.40997958769953E-018 0.30601987904990E-008 0.49881756106226E-001 0.63917498718289E-005 0.66179362380172E-006 0.35250776714234E-016 0.42447904177670E-007 0.20480079053718E-009 0.23993914352974E-007 0.87058176619061E-013 0.21268618033212E-007 0.35205481381654E-019 0.34120342114230E-010 0.72879255011482E+000 0.23549794926656E-022 0.33300000000000E+003 0.58333333333333E-001 -.19515328264504E+003 0.49930762519063E-001 0.33300000000000E+003 0.10132500000000E+006 0.10148867460989E-002 0.27731916066047E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.15268083816765E-004
  12 -.12990299586289E-001 0.73547842699580E-004 0.16704658249650E-013 0.16430386253998E-009 0.22101010165337E+000 0.21996405726288E-008 0.51407419449665E-003 0.15176749406134E-005 0.29453275186105E-014 0.17451777058855E-015 0.32124527694997E-007 0.49553631941624E-001 0.92645196569119E-004 0.21935801855510E-004 0.41203885738283E-013 0.13962329053533E-005 0.20003274404700E-007 0.74143231331590E-006 0.19511835914516E-010 0.90195904717049E-006 0.30312870189547E-018 0.50531526600296E-009 0.72872945105354E+000 0.37504770371234E-021 0.33300000000000E+003 0.58333333333333E-001 -.20037242022282E+003 0.49983960469542E-001 0.33300000000000E+003 0.10132500000000E+006 0.10143620111227E-002 0.27717577612647E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.13483432058870E-002
  13 -.65501177148561E-002 0.10926684966849E-003 0.31574127964267E-012 0.47152552467921E-009 0.22030992493250E+000 0.16778178751390E-007 0.18338789740933E-002 0.64385900381333E-005 0.78647054275606E-013 0.45867723252982E-014 0.11146494275918E-006 0.48612262729711E-001 0.39857727695688E-003 0.14549911424984E-003 0.20032887294505E-011 0.91178593828014E-005 0.24622257044824E-006 0.47446735789728E-005 0.45574508194863E-009 0.67744452908261E-005 0.98330440701669E-018 0.21991019070281E-008 0.72856313696006E+000 0.16966588942617E-020 0.33300000000000E+003 0.58333333333333E-001 -.21604034923998E+003 0.50151334221292E-001 0.33300000000000E+003 0.10132500000000E+006 0.10138289416919E-002 0.27703011419158E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.18778190919009E-001
  14 -.32950509579818E-002 0.13351460295339E-003 0.15141923638320E-011 0.90748554300186E-009 0.21931079331192E+000 0.45257628086891E-007 0.35047124720266E-002 0.13399731664128E-004 0.43090460708017E-012 0.24562779763045E-013 0.22288774926759E-006 0.47401362340051E-001 0.83899673423235E-003 0.38249980927188E-003 0.13991398997357E-010 0.23656866803174E-004 0.86801570287700E-006 0.12246080457778E-004 0.22877758465913E-008 0.18976293041813E-004 0.17858309691393E-017 0.46564942899805E-008 0.72835869772878E+000 0.36648462032169E-020 0.33300000000000E+003 0.58333333333333E-001 -.23675220816353E+003 0.50375981120110E-001 0.33300000000000E+003 0.10132500000000E+006 0.10134561204526E-002 0.27692824028934E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.76978618493122E-001
  15 -.16384716889016E-002 0.14785721877347E-003 0.34739572277643E-011 0.13458520580286E-008 0.21842496668000E+000 0.74719405565786E-007 0.48773991044371E-002 0.19474198895027E-004 0.10818783746112E-011 0.60482620940469E-013 0.33422339027556E-006 0.46394659020869E-001 0.12272726379525E-002 0.62740446904558E-003 0.37681858920897E-010 0.38495092629562E-004 0.16258254394531E-005 0.19897258675761E-004 0.50669616905843E-008 0.32161913486234E-004 0.24198973392575E-017 0.68321918366381E-008 0.72818836434969E+000 0.54325761687742E-020 0.33300000000000E+003 0.58333333333333E-001 -.25428515337535E+003 0.50566614176985E-001 0.33300000000000E+003 0.10132500000000E+006 0.10132415725448E-002 0.27686961478659E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.16280886420558E+000
  16 -.68947760057511E-003 0.15675696997187E-003 0.57383493685517E-011 0.17282093019844E-008 0.21773850759910E+000 0.99399560498760E-007 0.58945689371047E-002 0.24134332964905E-004 0.18795409346865E-011 0.10359037657179E-012 0.43194208147566E-006 0.45642861611830E-001 0.15264496810642E-002 0.83352371699984E-003 0.66458641052089E-010 0.50891530699440E-004 0.23134410608496E-005 0.26289914027628E-004 0.78919244298898E-008 0.43540467630160E-004 0.28798907165962E-017 0.85125772567786E-008 0.72805961224902E+000 0.68087278145112E-020 0.33300000000000E+003 0.58333333333333E-001 -.26752459942661E+003 0.50710470174864E-001 0.33300000000000E+003 0.10132500000000E+006 0.10131147579331E-002 0.27683496252435E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.25310567140343E+000
  17 0.00000000000000E+000 0.16355598441616E-003 0.85339649332339E-011 0.20990392184331E-008 0.21713404743119E+000 0.12206866928614E-006 0.67640824615610E-002 0.28212395362771E-004 0.28308516193467E-011 0.15487376159184E-012 0.52752883455931E-006 0.44996625233289E-001 0.17886913367163E-002 0.10247200498558E-002 0.10020697326844E-009 0.62334471191452E-004 0.29774241749077E-005 0.32191969840978E-004 0.10819459670468E-007 0.54266124925519E-004 0.32679397914634E-017 0.99877306863737E-008 0.72794766290099E+000 0.80229434850504E-020 0.33300000000000E+003 0.35000000000000E-001 -.27899060457612E+003 0.50834911768919E-001 0.33300000000000E+003 0.10132500000000E+006 0.10130228378657E-002 0.27680984524299E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.35106306449639E+000
  18 0.59491966621902E-003 0.16873801432275E-003 0.11294604579945E-010 0.23533784551826E-008 0.21666218155773E+000 0.13633223829555E-006 0.72634583011541E-002 0.30551002526585E-004 0.34616192543577E-011 0.19355427066095E-012 0.59244504587110E-006 0.44726801633622E-001 0.19404654984378E-002 0.11378788862291E-002 0.12423360114247E-009 0.69148833738205E-004 0.33882665337182E-005 0.35720223118623E-004 0.12758096190501E-007 0.60750427162916E-004 0.34996174506641E-017 0.10839047079595E-007 0.72789989528418E+000 0.87166764807816E-020 0.34027112644275E+003 0.35000000000000E-001 -.27821256761403E+003 0.49925931535341E-001 0.34027112644275E+003 0.10132500000000E+006 0.99122043650874E-003 0.27676642821051E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.40652384813187E+000
  19 0.12164586734896E-002 0.17433785435966E-003 0.16017836477785E-010 0.26931422416161E-008 0.21612815102641E+000 0.15394199146868E-006 0.78133393393548E-002 0.33156615766665E-004 0.43446719475617E-011 0.24880375922644E-012 0.67717009454349E-006 0.44435470986402E-001 0.21097963290213E-002 0.12667868967048E-002 0.15624645739341E-009 0.76863521788180E-004 0.38748848964979E-005 0.39739361573265E-004 0.15250046945799E-007 0.68202813878885E-004 0.37593850346205E-017 0.11788963611588E-007 0.72784941934874E+000 0.94962165423197E-020 0.34831674460700E+003 0.35000000000000E-001 -.27737030796565E+003 0.49925931535341E-001 0.34831674460700E+003 0.10132500000000E+006 0.96815386303899E-003 0.27671761006902E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.47710186645703E+000
  20 0.18767081926185E-002 0.18049831367729E-003 0.24256259204461E-010 0.31532389011203E-008 0.21551275837361E+000 0.17620841117453E-006 0.84294449817695E-002 0.36112832686802E-004 0.56244783062917E-011 0.33040644253911E-012 0.78925139298990E-006 0.44115419003667E-001 0.23021631906740E-002 0.14163622354806E-002 0.20021987977492E-009 0.85753691610979E-004 0.44615084814668E-005 0.44403276667569E-004 0.18542601637511E-007 0.76930385322498E-004 0.40574795212485E-017 0.12868220822694E-007 0.72779469195206E+000 0.10362653174769E-019 0.35737679716301E+003 0.35000000000000E-001 -.27644099132600E+003 0.49925931535341E-001 0.35737679716301E+003 0.10132500000000E+006 0.94342023894566E-003 0.27666205841738E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.56926486700395E+000
