Φ,Limit,F/A,Fuel Flow [g/s],Air Flow [g/s],Fuel flow nlpm,Air flow nlpm,Molar fraction Fuel [g/mol],Molar fraction air [g/mol],Molar mass mixture [g/mol],rho mixture [kg/m3],V bulk [m/s],Re
0.3,fuel,0.008807939728526715,0.002084281046988615,0.23663661551158777,1.3913390794645009,10.980260205975402,0.11194029850746269,0.8880597014925373,25.948729402985077,1.0540889722353288,18.022028405208204,4099.147100414317
0.4,fuel,0.011743919638035623,0.002084281046988615,0.1774774616336908,1.3913390794645009,8.23519515448155,0.14388489208633096,0.8561151079136691,25.08783985611511,1.019117927465641,14.021028531916523,3083.307776846589
0.5,fuel,0.014679899547544527,0.002084281046988615,0.14198196930695264,1.3913390794645009,6.58815612358524,0.1736111111111111,0.8263888888888888,24.286734305555555,0.9865754274716261,11.620437021474514,2473.8041827059533
0.6,fuel,0.01761587945705343,0.002084281046988615,0.11831830775579388,1.3913390794645009,5.490130102987701,0.20134228187919462,0.7986577181208054,23.53939422818792,0.9562169878798942,10.020049632007188,2067.468453278862
0.7,fuel,0.020551859366562335,0.002084281046988615,0.10141569236210905,1.3913390794645009,4.705825802560887,0.22727272727272727,0.7727272727272727,22.840582727272725,0.9278298755343786,8.87692168901921,1777.228646545226
0.8,fuel,0.023487839276071246,0.002084281046988615,0.0887387308168454,1.3913390794645009,4.117597577240775,0.25157232704402516,0.7484276729559749,22.185721635220126,0.9012281161665684,8.019580855775178,1559.5487914949983
0.9,fuel,0.02642381918558015,0.002084281046988615,0.07887887183719591,1.3913390794645009,3.6600867353251334,0.27439024390243905,0.725609756097561,21.570791097560978,0.8762484152967953,7.352764723426521,1390.2422375670437
1.0,fuel,0.029359799095089054,0.002084281046988615,0.07099098465347632,1.3913390794645009,3.29407806179262,0.2958579881656805,0.7041420118343196,20.99224698224852,0.8527468032358844,6.819315847062333,1254.7969944246802
1.1,fuel,0.032295779004597965,0.002084281046988615,0.06453725877588756,1.3913390794645009,2.994616419811473,0.3160919540229885,0.6839080459770115,20.446952528735633,0.8305958585347962,6.382861307550759,1143.9781591263825
1.2,fuel,0.03523175891410686,0.002084281046988615,0.05915915387789694,1.3913390794645009,2.7450650514938504,0.33519553072625696,0.664804469273743,19.932121452513964,0.8096823967779027,6.019152492459786,1051.629129711135
1.3,fuel,0.03816773882361577,0.002084281046988615,0.05460844973344332,1.3913390794645009,2.5339062013789384,0.3532608695652174,0.6467391304347826,19.445270326086955,0.7899055362034492,5.711401901168466,973.487643282848
1.4,fuel,0.04110371873312467,0.002084281046988615,0.050707846181054526,1.3913390794645009,2.3529129012804435,0.37037037037037035,0.6296296296296297,18.98417851851852,0.7711750703683848,5.447618462073454,906.5092263443169
1.5,fuel,0.04403969864263358,0.002084281046988615,0.04732732310231755,1.3913390794645009,2.19605204119508,0.38659793814432986,0.6134020618556701,18.54685432989691,0.7534100924629629,5.219008722912928,848.4612649975893
1.55,fuel,0.04550768859738803,0.002084281046988615,0.04580063526030731,1.3913390794645009,2.1252116527694325,0.3944020356234097,0.6055979643765903,18.336538117048345,0.7448666298061568,5.115766542744864,822.2460566474546
1.6,fuel,0.04697567855214249,0.002084281046988615,0.0443693654084227,1.3913390794645009,2.0587987886203876,0.4020100502512563,0.5979899497487438,18.131506231155782,0.7365378270150998,5.018977594719153,797.6692988192028
1.7,fuel,0.04991165846165139,0.002084281046988615,0.04175940273733902,1.3913390794645009,1.9376929775250709,0.4166666666666667,0.5833333333333333,17.736518333333333,0.7204926334029162,4.8424817743760284,752.8528580735681
