Φ,Limit,F/A,Fuel Flow [g/s],Air Flow [g/s],Fuel flow nlpm,Air flow nlpm,Molar fraction Fuel [g/mol],Molar fraction air [g/mol],Molar mass mixture [g/mol],rho mixture [kg/m3],V bulk [m/s],Re
0.6,fuel,0.03504607566090131,0.019990575204625664,0.5704083789024026,1.6717817810438667,26.467723139449177,0.05928853754940711,0.9407114624505929,28.199306245059287,1.1455118775173783,1.4880512150964844,1931.031430790262
0.7,fuel,0.04088708827105153,0.019990575204625664,0.48892146763063077,1.6717817810438667,22.68661983381358,0.0684931506849315,0.9315068493150684,28.08036,1.1406800445879641,1.2881035589388405,1664.5103169413997
0.8,fuel,0.04672810088120175,0.019990575204625664,0.4278062841768019,1.6717817810438667,19.850792354586883,0.07751937984496125,0.9224806201550387,27.96371891472868,1.135941851831601,1.1381430183309642,1464.6194815547524
1.0,fuel,0.05841012610150219,0.019990575204625664,0.3422450273414415,1.6717817810438667,15.880633883669503,0.09505703422053233,0.9049429657794676,27.737089277566536,1.1267357054494653,0.9281987344688132,1184.7723120134472
1.2,fuel,0.07009215132180262,0.019990575204625664,0.2852041894512013,1.6717817810438667,13.233861569724588,0.11194029850746269,0.8880597014925373,27.518915970149255,1.1178730719920362,0.7882363898137209,998.2075323192431
1.3,fuel,0.07593316393195285,0.019990575204625664,0.2632654056472627,1.6717817810438667,12.215872218207311,0.12014787430683921,0.8798521256931608,27.412853900184842,1.1135646198676297,0.7344048909786561,926.4518478214723
1.4,fuel,0.08177417654210306,0.019990575204625664,0.24446073381531538,1.6717817810438667,11.34330991690679,0.12820512820512822,0.8717948717948718,27.30873435897436,1.1093350771227912,0.6882637105605601,864.9469753948121
