[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.80, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
  11 -.49503188512394E-001 0.19818661059841E-004 0.34193652983434E-017 0.66492101059511E-011 0.22252337597686E+000 0.65475761053279E-011 0.24455883859889E-004 0.47555004784327E-007 0.29186118003205E-018 0.15020600819918E-019 0.89967964659256E-009 0.44586190404055E-001 0.27782366431649E-005 0.26220065160894E-006 -.41474583533510E-017 0.16564021599197E-007 0.11227106413696E-010 0.79457986502675E-008 0.64605438100852E-015 0.68262207428568E-008 0.88151449112781E-021 0.12199198009689E-010 0.73284303880952E+000 0.25369103015203E-026 0.30022012067144E+003 0.32418427810144E-001 -.20542441809971E+003 0.44626161663938E-001 0.10132500000000E+006 0.11305429329931E-002 0.27851264480729E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30022012067144E+003 0.11197599282560E-005
  12 -.35665247462741E-001 0.32877081574235E-004 0.14512213685712E-015 0.22574717101473E-010 0.22254508548180E+000 0.13097277022732E-009 0.12803632788461E-003 0.30662123477944E-006 0.31387089676984E-016 0.16262751890679E-017 0.48765432640713E-008 0.44464156687898E-001 0.17993159732680E-004 0.30231567083128E-005 0.34659187562670E-015 0.19425901820899E-006 0.37255037021315E-009 0.87697081508551E-007 0.56546579239016E-013 0.92716576263646E-007 0.40517529731089E-020 0.80175085109075E-010 0.73280814132762E+000 0.50942198731701E-025 0.30133068306835E+003 0.32418427810144E-001 -.20514971593552E+003 0.44626161663951E-001 0.10132500000000E+006 0.11262295236061E-002 0.27847635561215E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30133068306835E+003 0.33579680494692E-004
  13 -.28121690086493E-001 0.43395399306128E-004 0.13486628119715E-014 0.45709096994864E-010 0.22254762803782E+000 0.65593876870322E-009 0.31685734247310E-003 0.85093439673172E-006 0.38627179221526E-015 0.20194745659082E-016 0.12113086252189E-007 0.44272498188852E-001 0.50091483606487E-004 0.11517802438808E-004 0.64857222294983E-014 0.74466593829641E-006 0.26054494259103E-008 0.32636130909680E-006 0.77402404086144E-012 0.38585176220906E-006 0.93463291969473E-020 0.22499075219124E-009 0.73275568828614E+000 0.15833770189136E-024 0.30348770370545E+003 0.32418427810144E-001 -.20469953254915E+003 0.44626161663959E-001 0.10132500000000E+006 0.11181205480065E-002 0.27845036468379E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30348770370545E+003 0.23031810848101E-003
  14 -.23630218592583E-001 0.51249817849713E-004 0.52514089123205E-014 0.71742049744855E-010 0.22251754744932E+000 0.16129140929829E-008 0.54263232584777E-003 0.15608850375873E-005 0.16118603216556E-014 0.85159671594744E-016 0.20813062961434E-007 0.44065494111732E-001 0.92105621312224E-004 0.25540447776387E-004 0.35051974008540E-013 0.16545797173832E-005 0.82979124617260E-008 0.71369098148047E-006 0.35921428437535E-011 0.90221788056036E-006 0.15369939835172E-019 0.41566153624902E-009 0.73270056763761E+000 0.29926961380764E-024 0.30616611217795E+003 0.32418427810144E-001 -.20420717384197E+003 0.44626161663964E-001 0.10132500000000E+006 0.11082612177683E-002 0.27843082741120E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30616611217795E+003 0.73404948564356E-003
  15 -.20537564018980E-001 0.57514349867439E-004 0.13560883075360E-013 0.99982154490299E-010 0.22245972764757E+000 0.29094637982869E-008 0.78396464226930E-003 0.23643761549118E-005 0.41845410227801E-014 0.22356915244449E-015 0.30350814404468E-007 0.43860039647530E-001 0.13980311098199E-003 0.44072669124938E-004 0.10845973919474E-012 0.28561925995165E-005 0.18327243576542E-007 0.12199505976509E-005 0.10018828654297E-010 0.16149449160686E-005 0.21638181470024E-019 0.63293986797388E-009 0.73264677013780E+000 0.45511425039959E-024 0.30910237672339E+003 0.32418427810144E-001 -.20371813570315E+003 0.44626161663967E-001 0.10132500000000E+006 0.10976662223176E-002 0.27841376753890E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30910237672339E+003 0.16341328794367E-002
  16 -.18163047182968E-001 0.62877077473583E-004 0.28378989539822E-013 0.13114500243801E-009 0.22237810679384E+000 0.45105929888684E-008 0.10374445944924E-002 0.32443898025172E-005 0.86017010600004E-014 0.46495650184717E-015 0.40798148514056E-007 0.43656492997882E-001 0.19219326491155E-003 0.66797652433211E-004 0.25363325249115E-012 0.43269928191639E-005 0.33535486996066E-007 0.18358622509446E-005 0.21640544828282E-010 0.25173898717778E-005 0.28130132318154E-019 0.87223031049882E-009 0.73259408311469E+000 0.62839754453146E-024 0.31224555082335E+003 0.32418427810144E-001 -.20323530531352E+003 0.44626161663969E-001 0.10132500000000E+006 0.10865523823171E-002 0.27839728133193E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31224555082335E+003 0.30217059634001E-002
  17 -.16219047542451E-001 0.67671596832822E-004 0.52430125619401E-013 0.16599275200077E-009 0.22227487062024E+000 0.64094629780952E-008 0.13021749822567E-002 0.41945593701700E-005 0.15456154404074E-013 0.84559063589987E-015 0.52327290485049E-007 0.43454056479524E-001 0.24891662162839E-003 0.93619914546471E-004 0.50304127272033E-012 0.60587828105135E-005 0.54809815225570E-007 0.25584197367329E-005 0.40235380823997E-010 0.36101071258515E-005 0.34869103892490E-019 0.11318401478164E-008 0.73254215303072E+000 0.79081636314630E-024 0.31557939277298E+003 0.32418427810144E-001 -.20275746121376E+003 0.44626161663971E-001 0.10132500000000E+006 0.10750092066613E-002 0.27838054616333E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31557939277298E+003 0.49968377347301E-002
  18 -.14564405060729E-001 0.72070359380618E-004 0.89181337911787E-013 0.20520316428376E-009 0.22215159442252E+000 0.86084785329383E-008 0.15771583823297E-002 0.52093478520478E-005 0.25456682953629E-013 0.14100068208390E-014 0.65110502237929E-007 0.43252511307652E-001 0.30966255431170E-003 0.12445748983989E-003 0.89485481260007E-012 0.80442075691082E-005 0.83008640534196E-007 0.33850969730480E-005 0.67757224085693E-010 0.48935396565101E-005 0.41866126883800E-019 0.14103144237164E-008 0.73249085488001E+000 0.95497478662213E-024 0.31908844531838E+003 0.32418427810144E-001 -.20228421460992E+003 0.44626161663973E-001 0.10132500000000E+006 0.10631209230779E-002 0.27836319090155E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31908844531838E+003 0.76635004509544E-002
  19 -.13117392513155E-001 0.76179479470263E-004 0.14308516545128E-012 0.24948662795899E-009 0.22200939870760E+000 0.11118630534580E-007 0.18617144988638E-002 0.62849396812584E-005 0.39472589747838E-013 0.22140016345065E-014 0.79339231925305E-007 0.43051651707767E-001 0.37422223860041E-003 0.15926625701072E-003 0.14740815336297E-011 0.10278328898138E-004 0.11898718705185E-006 0.43144702956736E-005 0.10638578375579E-009 0.63692228296554E-005 0.49135722061975E-019 0.17066711108031E-008 0.73244010863973E+000 0.11274140415076E-023 0.32276220851727E+003 0.32418427810144E-001 -.20181495307665E+003 0.44626161663974E-001 0.10132500000000E+006 0.10509515896173E-002 0.27834501811147E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.32276220851727E+003 0.11133564506333E-001
  20 -.11826237017572E-001 0.80070033976265E-004 0.21987453338822E-012 0.29962017492723E-009 0.22184907782156E+000 0.13957778965274E-007 0.21554045606295E-002 0.74187873195671E-005 0.58578530164002E-013 0.33278551205528E-014 0.95225435985959E-007 0.42851257611104E-001 0.44246193837924E-003 0.19803423427669E-003 0.22939069987878E-011 0.12758238094307E-004 0.16360707775019E-006 0.53460341297543E-005 0.15857948686330E-009 0.80397521308699E-005 0.56696501200112E-019 0.20202769757386E-008 0.73238985571705E+000 0.12975996874440E-023 0.32659385235378E+003 0.32418427810144E-001 -.20134890455431E+003 0.44626161663976E-001 0.10132500000000E+006 0.10385503938789E-002 0.27832591340437E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.32659385235378E+003 0.15529389411615E-001
