[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         200
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.90, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Burner stabilized flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Tsolid           Press            Density          MeanMass         Surface          Stretch          Porosity         DensSolid        HeatRel         
  11 -.24547032040721E-001 0.36250708200983E-004 0.16434546507983E-015 0.30119640232244E-010 0.22123094424706E+000 0.59509063134301E-010 0.53506042054946E-004 0.11403079574591E-006 0.81773048601237E-017 0.48261638236844E-018 0.32699897282500E-008 0.49879337832588E-001 0.68829300887032E-005 0.72999283840430E-006 0.42568413528270E-016 0.46821076889288E-007 0.23218339675486E-009 0.26411500618710E-007 0.10052808371368E-012 0.23634783752728E-007 0.37343618690475E-019 0.36764688618238E-010 0.72879213372034E+000 -.28816381650638E-023 0.33300000000000E+003 0.58333333333333E-001 -.19518894738092E+003 0.49931051032804E-001 0.33300000000000E+003 0.10132500000000E+006 0.10148771769903E-002 0.27731654588875E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.17159675782945E-004
  12 -.12803836539373E-001 0.74394084121503E-004 0.18121155076993E-013 0.16902055044600E-009 0.22100074555833E+000 0.23345815981839E-008 0.53323466050714E-003 0.15822805534569E-005 0.32404338201648E-014 0.19197286567624E-015 0.33299196329336E-007 0.49540091820922E-001 0.96615624517134E-004 0.23163282267570E-004 0.46117144442119E-013 0.14739538249894E-005 0.21499480545251E-007 0.78210952619122E-006 0.21305818619754E-010 0.95588624114374E-006 0.31358106785260E-018 0.52714253402209E-009 0.72872690288839E+000 -.44385654243308E-022 0.33300000000000E+003 0.58333333333333E-001 -.20059321480786E+003 0.49985626561557E-001 0.33300000000000E+003 0.10132500000000E+006 0.10143498212944E-002 0.27717244523958E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.14515394335995E-002
  13 -.64618754357234E-002 0.10986151217019E-003 0.32920745430780E-012 0.47926607115819E-009 0.22029161139609E+000 0.17241715942212E-007 0.18662322539696E-002 0.65673608320729E-005 0.82290152597316E-013 0.47971934508381E-014 0.11346130891019E-006 0.48588994603134E-001 0.40666057272771E-003 0.14933491484147E-003 0.21119240180267E-011 0.93553093216545E-005 0.25487228970682E-006 0.48673774875699E-005 0.47637423869452E-009 0.69648802636990E-005 0.99932454575356E-018 0.22440439397024E-008 0.72855916104164E+000 -.19629584043556E-021 0.33300000000000E+003 0.58333333333333E-001 -.21643344320130E+003 0.50153127848948E-001 0.33300000000000E+003 0.10132500000000E+006 0.10138198152552E-002 0.27702762038053E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.19495411607519E-001
  14 -.32593913193206E-002 0.13380782346277E-003 0.15413527163984E-011 0.91492086995305E-009 0.21929515859792E+000 0.45757744750961E-007 0.35296771466658E-002 0.13507645784192E-004 0.43945298765094E-012 0.25041265012337E-013 0.22476883344513E-006 0.47383140035346E-001 0.84587456010742E-003 0.38657745947647E-003 0.14294824499858E-010 0.23905033186445E-004 0.88002820868628E-006 0.12374155982545E-004 0.23283842520220E-008 0.19192044019394E-004 0.17975636580717E-017 0.46949469036411E-008 0.72835562698871E+000 -.41881077376520E-021 0.33300000000000E+003 0.58333333333333E-001 -.23706724718246E+003 0.50374564048287E-001 0.33300000000000E+003 0.10132500000000E+006 0.10134516536731E-002 0.27692701973587E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.78221292817927E-001
  15 -.16256675302829E-002 0.14797351676074E-003 0.34974511957410E-011 0.13504211402376E-008 0.21841672246023E+000 0.75017449680958E-007 0.48898404497638E-002 0.19530376677239E-004 0.10901093054088E-011 0.60931775937771E-013 0.33538353263259E-006 0.46385489886138E-001 0.12308791403276E-002 0.62980100069288E-003 0.37975435180733E-010 0.38639538753960E-004 0.16337461138785E-005 0.19971846529958E-004 0.50982683873122E-008 0.32293016948946E-004 0.24256034117625E-017 0.68523935013150E-008 0.72818680127638E+000 -.61746985773920E-021 0.33300000000000E+003 0.58333333333333E-001 -.25444584442509E+003 0.50561501759262E-001 0.33300000000000E+003 0.10132500000000E+006 0.10132398778883E-002 0.27686915171945E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.16378743093420E+000
  16 -.68547176300087E-003 0.15679527350752E-003 0.57516309019809E-011 0.17302713300159E-008 0.21773530843024E+000 0.99526435368040E-007 0.58992420053713E-002 0.24155978571138E-004 0.18843338177192E-011 0.10384800945526E-012 0.43247175200641E-006 0.45639394263192E-001 0.15278460480812E-002 0.83451157314863E-003 0.66621983150779E-010 0.50950729256821E-004 0.23169546465667E-005 0.26320533375138E-004 0.79070108582345E-008 0.43595641161343E-004 0.28820210992452E-017 0.85203814743465E-008 0.72805901233924E+000 -.77226570623451E-021 0.33300000000000E+003 0.58333333333333E-001 -.26758582798374E+003 0.50702751396744E-001 0.33300000000000E+003 0.10132500000000E+006 0.10131142283609E-002 0.27683481781803E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.25360059808898E+000
  17 0.00000000000000E+000 0.16355559652856E-003 0.85347432951866E-011 0.20991712042604E-008 0.21713408733021E+000 0.12207473050766E-006 0.67640373822778E-002 0.28212142821104E-004 0.28311495242505E-011 0.15489254991085E-012 0.52756653989809E-006 0.44996655524414E-001 0.17886804288312E-002 0.10247057773585E-002 0.10021076985571E-009 0.62333627684361E-004 0.29775080523265E-005 0.32191605315676E-004 0.10819791212418E-007 0.54265511013053E-004 0.32679510343401E-017 0.99876160872880E-008 0.72794766512784E+000 -.90911706952345E-021 0.33300000000000E+003 0.35000000000000E-001 -.27898996554083E+003 0.50825199632034E-001 0.33300000000000E+003 0.10132500000000E+006 0.10130228450857E-002 0.27680984721588E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.35107971006777E+000
  18 0.58826239816160E-003 0.16867867969606E-003 0.11255719416302E-010 0.23502951659373E-008 0.21666771398002E+000 0.13616555082314E-006 0.72576803071803E-002 0.30523748970072E-004 0.34538854374257E-011 0.19307301483054E-012 0.59167063988437E-006 0.44729899203115E-001 0.19387013476516E-002 0.11365436099445E-002 0.12393615508326E-009 0.69068701808576E-004 0.33834618300558E-005 0.35678678328492E-004 0.12734508404196E-007 0.60673813292222E-004 0.34969491162431E-017 0.10829093310153E-007 0.72790043853166E+000 -.98676362693912E-021 0.34018743164107E+003 0.35000000000000E-001 -.27822080335512E+003 0.49925931535341E-001 0.34018743164107E+003 0.10132500000000E+006 0.99146610919061E-003 0.27676693266761E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.40585815779194E+000
  19 0.12039989268139E-002 0.17422331289027E-003 0.15900185607889E-010 0.26856181117071E-008 0.21613932586688E+000 0.15356488986342E-006 0.78019859287137E-002 0.33102460611688E-004 0.43246113779895E-011 0.24753603622937E-012 0.67531749237924E-006 0.44441434185181E-001 0.21062806607291E-002 0.12640762924433E-002 0.15552802796996E-009 0.76701886211578E-004 0.38645987343684E-005 0.39654942262130E-004 0.15195120152260E-007 0.68045679824583E-004 0.37540014194859E-017 0.11769177535053E-007 0.72785044547722E+000 -.10164298943683E-020 0.34815083965586E+003 0.35000000000000E-001 -.27738689540694E+003 0.49925931535341E-001 0.34815083965586E+003 0.10132500000000E+006 0.96861876554360E-003 0.27671862321441E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.47556039030915E+000
  20 0.18599465825419E-002 0.18033878091982E-003 0.23990832033264E-010 0.31402353050053E-008 0.21552905584841E+000 0.17559849916333E-006 0.84133473423432E-002 0.36035068357490E-004 0.55870786844912E-011 0.32799743108196E-012 0.78612340748777E-006 0.44123706129483E-001 0.22971060869597E-002 0.14123819478535E-002 0.19895799973607E-009 0.85518057943041E-004 0.44457521318502E-005 0.44279260236203E-004 0.18449897309225E-007 0.76697366114635E-004 0.40496200314506E-017 0.12839778882425E-007 0.72779609197856E+000 -.95026582670469E-021 0.35714008442659E+003 0.35000000000000E-001 -.27646445164863E+003 0.49925931535341E-001 0.35714008442659E+003 0.10132500000000E+006 0.94405052603225E-003 0.27666352002234E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.56668975297336E+000
