[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.95, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
  11 -.31782650063275E-001 0.47716489104007E-004 0.17083218044895E-015 0.37039556724449E-010 0.22067614398776E+000 0.12749327762592E-009 0.65839560846616E-004 0.18301158271219E-006 0.35789052117460E-016 0.18444467047864E-017 0.58639541297973E-008 0.52440965924663E-001 0.97242685609803E-005 0.90792935952819E-006 0.15655451953015E-015 0.81167540627745E-007 0.36969822942744E-009 0.44601510279972E-007 0.10890770388195E-012 0.44404271714279E-007 0.14630707602347E-018 0.54398265833021E-010 0.72675834220211E+000 -.34473501939095E-038 0.30064496209064E+003 0.41909795435389E-001 -.24206071773770E+003 0.52553827797940E-001 0.10132500000000E+006 0.11217261422624E-002 0.27673165146574E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30064496209064E+003 0.31538783921802E-004
  12 -.22242692012847E-001 0.75251903828332E-004 0.46758267676624E-014 0.11329924665554E-009 0.22069300262518E+000 0.15621434424934E-008 0.28985528805973E-003 0.96768377154926E-006 0.19070074061565E-014 0.99485145572988E-016 0.25879307330619E-007 0.52170545433821E-001 0.51758977835284E-004 0.80681125700275E-005 0.15784143795021E-013 0.72616406748125E-006 0.80576037125557E-008 0.38171840902970E-006 0.45499565145865E-011 0.45641496714561E-006 0.54013337552588E-018 0.29330703277139E-009 0.72670894976726E+000 0.54869423632957E-038 0.30318088202446E+003 0.41909795435389E-001 -.24131497458414E+003 0.52553827797940E-001 0.10132500000000E+006 0.11120439436725E-002 0.27665710240900E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30318088202446E+003 0.65340228958752E-003
  13 -.17420236784491E-001 0.94950234263552E-004 0.28066351374297E-013 0.21044335551560E-009 0.22065382420937E+000 0.52075172292959E-008 0.61291829829485E-003 0.22436722551878E-005 0.13228916684215E-013 0.70067470118333E-015 0.54818172085399E-007 0.51837305004518E-001 0.12071064685822E-003 0.24372540155223E-004 0.15448070108831E-012 0.21860395884606E-005 0.38480424755990E-007 0.11317058158174E-005 0.32495896000193E-010 0.14834386246731E-005 0.10467664653037E-017 0.68848765305186E-009 0.72664877477252E+000 0.51010605878325E-038 0.30703647539077E+003 0.41909795435389E-001 -.24037571167136E+003 0.52553827797940E-001 0.10132500000000E+006 0.10978807699975E-002 0.27660702957467E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30703647539077E+003 0.31646839426530E-002
  14 -.14697398876971E-001 0.10840792124571E-003 0.79704930782773E-013 0.30789735786535E-009 0.22057272637878E+000 0.98942721457512E-008 0.93232978295113E-003 0.35937016479344E-005 0.38117262043427E-013 0.20488228421565E-014 0.84559756136103E-007 0.51539376171754E-001 0.19421595050516E-003 0.45357150094314E-004 0.53783843952857E-012 0.40494796761535E-005 0.91310918391929E-007 0.20842294943210E-005 0.96184757530249E-010 0.28778221155987E-005 0.15197146430209E-017 0.11117227106947E-008 0.72659479413033E+000 0.45793739084346E-039 0.31096531380887E+003 0.41909795435389E-001 -.23953064835944E+003 0.52553827797940E-001 0.10132500000000E+006 0.10838700131388E-002 0.27657136473168E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31096531380887E+003 0.77101116851773E-002
  15 -.12855684633282E-001 0.11866656750001E-003 0.16425931107964E-012 0.40532198497023E-009 0.22046877902595E+000 0.15057537348533E-007 0.12346242685344E-002 0.49264451554326E-005 0.77166820562862E-013 0.42052533264848E-014 0.11428911318296E-006 0.51276218796497E-001 0.26721581874187E-003 0.68788045487781E-004 0.12282752888877E-011 0.61144471352616E-005 0.16182976860691E-006 0.31391817179352E-005 0.19715671543172E-009 0.44888107009648E-005 0.19542437467057E-017 0.15332186053903E-008 0.72654674527899E+000 0.30161258366394E-039 0.31475662555359E+003 0.41909795435389E-001 -.23878276999086E+003 0.52553827797940E-001 0.10132500000000E+006 0.10707006979049E-002 0.27654195524550E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31475662555359E+003 0.14035617758966E-001
  16 -.11430714141771E-001 0.12733359361377E-003 0.29103285712730E-012 0.50749782860864E-009 0.22034682890313E+000 0.20707877332924E-007 0.15307881664149E-002 0.62725127595954E-005 0.13282482134458E-012 0.73352596248395E-014 0.14525978116199E-006 0.51031677532270E-001 0.34131785436909E-003 0.94645702481688E-004 0.23049079897637E-011 0.83774655511715E-005 0.25001337391638E-006 0.42968233924407E-005 0.34077474691402E-009 0.63113921390372E-005 0.23729304019489E-017 0.19619021546409E-008 0.72650173125994E+000 0.17837622615508E-039 0.31852508378952E+003 0.41909795435389E-001 -.23808704185444E+003 0.52553827797940E-001 0.10132500000000E+006 0.10579298763037E-002 0.27651492867180E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31852508378952E+003 0.22256547785529E-001
  17 -.10242594270132E-001 0.13509916106002E-003 0.47387030900558E-012 0.61801364399800E-009 0.22020786836520E+000 0.26926031813158E-007 0.18279053761991E-002 0.76562834955246E-005 0.20897347573343E-012 0.11692961038998E-013 0.17845193278990E-006 0.50796921984986E-001 0.41783833998455E-003 0.12316794773311E-003 0.38729375748682E-011 0.10857110089991E-004 0.35725313252991E-006 0.55682164474298E-005 0.53538308443956E-009 0.83623556481799E-005 0.27890303045018E-017 0.24052295315210E-008 0.72645818866487E+000 0.32323336684170E-039 0.32235072159405E+003 0.41909795435389E-001 -.23741835675776E+003 0.52553827797940E-001 0.10132500000000E+006 0.10452750417908E-002 0.27648863868669E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.32235072159405E+003 0.32629631152297E-001
  18 -.92088172699507E-002 0.14229074215681E-003 0.73112920022859E-012 0.73954426231326E-009 0.22005221320728E+000 0.33784652984058E-007 0.21294648811756E-002 0.90902740233644E-005 0.31052398281202E-012 0.17603766140931E-013 0.21457445412391E-006 0.50567651688918E-001 0.49746347015227E-003 0.15453066477939E-003 0.60595908693048E-011 0.13565998262501E-004 0.48509105276119E-006 0.69612988397702E-005 0.79097167531781E-009 0.10656236916094E-004 0.32094489084667E-017 0.28670960855392E-008 0.72641537368260E+000 0.33242031163014E-039 0.32627362787918E+003 0.41909795435389E-001 -.23676424137900E+003 0.52553827797940E-001 0.10132500000000E+006 0.10326089764436E-002 0.27646230886016E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.32627362787918E+003 0.45454064886599E-001
  19 -.82851833681571E-002 0.14908523051695E-003 0.10866651232534E-011 0.87438903665875E-009 0.21988007960125E+000 0.41348542084833E-007 0.24371471517792E-002 0.10580551283427E-004 0.44342498193336E-012 0.25468904471949E-013 0.25420909042736E-006 0.50341668678915E-001 0.58053183173558E-003 0.18884904494050E-003 0.90140427062359E-011 0.16511154761259E-004 0.63498296655999E-006 0.84811695887310E-005 0.11189001861165E-008 0.13204136278187E-004 0.36380822648055E-017 0.33494187400405E-008 0.72637292555507E+000 0.51039513649750E-039 0.33031311130318E+003 0.41909795435389E-001 -.23611810770702E+003 0.52553827797940E-001 0.10132500000000E+006 0.10198821362310E-002 0.27643552912635E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33031311130318E+003 0.61053713044053E-001
  20 -.74452623326662E-002 0.15558754050116E-003 0.15714304250606E-011 0.10247209191088E-008 0.21969172630549E+000 0.49677744401017E-007 0.27516747458130E-002 0.12129592983448E-004 0.61475737755460E-012 0.35775041090216E-013 0.29787779889856E-006 0.50117825368016E-001 0.66718535307137E-003 0.22619133947006E-003 0.12908236020007E-010 0.19695373514175E-004 0.80821962437968E-006 0.10130801347172E-004 0.15318425370148E-008 0.16014100080218E-004 0.40773007915176E-017 0.38529899696572E-008 0.72633067727986E+000 0.53701072170400E-039 0.33447719089881E+003 0.41909795435389E-001 -.23547631433751E+003 0.52553827797940E-001 0.10132500000000E+006 0.10070850517482E-002 0.27640807066889E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33447719089881E+003 0.79772056492677E-001
  21 -.66717381428563E-002 0.16186579120755E-003 0.22261326548245E-011 0.11927516331741E-008 0.21948743792693E+000 0.58831882729563E-007 0.30733097202423E-002 0.13738165064064E-004 0.83291904359125E-012 0.49109737481089E-013 0.34608652591659E-006 0.49895480570927E-001 0.75747010232100E-003 0.26659931377470E-003 0.17939343538523E-010 0.23119080558582E-004 0.10059416628004E-005 0.11911992000067E-004 0.20439369608899E-008 0.19092329768237E-004 0.45287633710496E-017 0.43780536724983E-008 0.72628855651134E+000 0.46231970122502E-039 0.33876841590266E+003 0.41909795435389E-001 -.23483664410613E+003 0.52553827797940E-001 0.10132500000000E+006 0.99422646801501E-003 0.27637979901304E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33876841590266E+003 0.10197662970452E+000
  22 -.59524316767179E-002 0.16796785225570E-003 0.31056066507439E-011 0.13808413014523E-008 0.21926748859466E+000 0.68873361587879E-007 0.34021139362427E-002 0.15406360352683E-004 0.11078686082918E-011 0.66181371884299E-013 0.39935188359094E-006 0.49674232917821E-001 0.85139263292347E-003 0.31010317318969E-003 0.24333360778700E-010 0.26781658678539E-004 0.12291732383019E-005 0.13826042245616E-004 0.26710376295952E-008 0.22444170036697E-004 0.49938390123549E-017 0.49246284761002E-008 0.72624653625799E+000 0.35300412953907E-039 0.34318698686556E+003 0.41909795435389E-001 -.23419755870513E+003 0.52553827797940E-001 0.10132500000000E+006 0.98132211473435E-003 0.27635063093630E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.34318698686556E+003 0.12806688770346E+000
  23 -.52783420736835E-002 0.17392930862180E-003 0.42859847049420E-011 0.15915683033941E-008 0.21903212681401E+000 0.79869039731534E-007 0.37380628781555E-002 0.17134051297409E-004 0.14514052765915E-011 0.87842373818042E-013 0.45821522190522E-006 0.49453802809399E-001 0.94894463506295E-003 0.35672858807357E-003 0.32349219875183E-010 0.30682061956109E-004 0.14788405788684E-005 0.15874071384048E-004 0.34309912266797E-008 0.26074592096585E-004 0.54738018333777E-017 0.54926492045091E-008 0.72620461271172E+000 0.24694576951639E-039 0.34773211972859E+003 0.41909795435389E-001 -.23355787013494E+003 0.52553827797940E-001 0.10132500000000E+006 0.96838991180262E-003 0.27632051343212E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.34773211972859E+003 0.15848251148897E+000
