[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.95, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
  11 -.31787244504145E-001 0.47706052124038E-004 0.17058121462706E-015 0.37020554357057E-010 0.22067613270196E+000 0.12734566330419E-009 0.65792509156134E-004 0.18286456532052E-006 0.35721926753132E-016 0.18409812430529E-017 0.58597188929156E-008 0.52441031987119E-001 0.97164336833817E-005 0.90697335124277E-006 0.15621599753389E-015 0.81081471521130E-007 0.36916980350981E-009 0.44555362123204E-007 0.10872854036778E-012 0.44354391095892E-007 0.14621689005949E-018 0.54354102481789E-010 0.72675835403910E+000 -.61359265020363E-038 0.30064445806378E+003 0.41909794878858E-001 -.24206089559756E+003 0.52553827797940E-001 0.10132500000000E+006 0.11217281443106E-002 0.27673168143689E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30064445806378E+003 0.31494942778413E-004
  12 -.22246268328622E-001 0.75239004980108E-004 0.46699413617576E-014 0.11325102621530E-009 0.22069300796941E+000 0.15607666144055E-008 0.28969472724716E-003 0.96708183743743E-006 0.19042991439084E-014 0.99343055974794E-016 0.25865109693893E-007 0.52170722318975E-001 0.51726609509276E-004 0.80615386297202E-005 0.15757707836605E-013 0.72557169106266E-006 0.80485903347240E-008 0.38141260166763E-006 0.45438063181673E-011 0.45601859953572E-006 0.53987264156105E-018 0.29312224310968E-009 0.72670898186111E+000 0.50038548836563E-039 0.30317900778764E+003 0.41909794878858E-001 -.24131546949860E+003 0.52553827797940E-001 0.10132500000000E+006 0.11120509518206E-002 0.27665713563379E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30317900778764E+003 0.65266417863348E-003
  13 -.17421686610473E-001 0.94943575861956E-004 0.28051099839775E-013 0.21040276188726E-009 0.22065385177823E+000 0.52057140225461E-008 0.61278158744021E-003 0.22431105003544E-005 0.13221425309229E-013 0.70027342908164E-015 0.54805701252277E-007 0.51837437501823E-001 0.12068016291348E-003 0.24364518868061E-004 0.15437762026603E-012 0.21853240475313E-005 0.38462644552746E-007 0.11313395240096E-005 0.32476906966291E-010 0.14829180644125E-005 0.10465619567325E-017 0.68831255139597E-009 0.72664879877728E+000 0.30645941530564E-038 0.30703481383449E+003 0.41909794878858E-001 -.24037608696660E+003 0.52553827797940E-001 0.10132500000000E+006 0.10978867798678E-002 0.27660704684672E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30703481383449E+003 0.31631898908417E-002
  14 -.14697407898725E-001 0.10840788178837E-003 0.79704063505832E-013 0.30789618072471E-009 0.22057272675537E+000 0.98942081729265E-008 0.93232879958243E-003 0.35936975566217E-005 0.38116869128919E-013 0.20488019800275E-014 0.84559441670108E-007 0.51539377028696E-001 0.19421570718558E-003 0.45357078384477E-004 0.53783419262297E-012 0.40494745096078E-005 0.91310096449460E-007 0.20842261859404E-005 0.96182707704007E-010 0.28778172430935E-005 0.15197150357368E-017 0.11117214340230E-008 0.72659479425329E+000 0.32354276331792E-038 0.31096530113188E+003 0.41909794878858E-001 -.23953065118802E+003 0.52553827797940E-001 0.10132500000000E+006 0.10838700577900E-002 0.27657136485046E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31096530113188E+003 0.77100541544686E-002
  15 -.12855412703075E-001 0.11866816413924E-003 0.16427611537636E-012 0.40533795222555E-009 0.22046875955545E+000 0.15058411408770E-007 0.12346753440847E-002 0.49266741798132E-005 0.77174407101626E-013 0.42056769091277E-014 0.11429403195042E-006 0.51276175691427E-001 0.26722837409410E-003 0.68792257229106E-004 0.12284199892802E-011 0.61148184413633E-005 0.16184262303817E-006 0.31393707039943E-005 0.19717540670423E-009 0.44891039928999E-005 0.19543182041382E-017 0.15332913459863E-008 0.72654673731391E+000 0.65435830639900E-038 0.31475727084417E+003 0.41909794878858E-001 -.23878264778024E+003 0.52553827797940E-001 0.10132500000000E+006 0.10706984842437E-002 0.27654195044278E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31475727084417E+003 0.14036807886587E-001
  16 -.11430707341991E-001 0.12733364198895E-003 0.29103317990170E-012 0.50749780564311E-009 0.22034682812432E+000 0.20707878675251E-007 0.15307899311075E-002 0.62725209856373E-005 0.13282481687698E-012 0.73352599260760E-014 0.14525977981626E-006 0.51031676167361E-001 0.34131828810808E-003 0.94645857599633E-004 0.23049119736368E-011 0.83774801069293E-005 0.25001341399664E-006 0.42968301989273E-005 0.34077450652855E-009 0.63114030323449E-005 0.23729347854244E-017 0.19619048866622E-008 0.72650173096121E+000 0.86467186791004E-038 0.31852510609615E+003 0.41909794878858E-001 -.23808703826909E+003 0.52553827797940E-001 0.10132500000000E+006 0.10579298015658E-002 0.27651492850190E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.31852510609615E+003 0.22256562340991E-001
  17 -.10242842509177E-001 0.13509748909491E-003 0.47382167245376E-012 0.61798741065571E-009 0.22020790148580E+000 0.26924547816254E-007 0.18278382534146E-002 0.76559676399115E-005 0.20895345126434E-012 0.11691805791322E-013 0.17844405272588E-006 0.50796973968566E-001 0.41782081762631E-003 0.12316122923998E-003 0.38725186995748E-011 0.10856528493735E-004 0.35722644313433E-006 0.55679173200586E-005 0.53533261750557E-009 0.83618681593996E-005 0.27889386331184E-017 0.24051282241003E-008 0.72645819831659E+000 0.90783118975936E-038 0.32234985243668E+003 0.41909794878858E-001 -.23741850519314E+003 0.52553827797940E-001 0.10132500000000E+006 0.10452778824633E-002 0.27648864457996E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.32234985243668E+003 0.32627012026461E-001
  18 -.92091608282843E-002 0.14228828562676E-003 0.73102314276332E-012 0.73949917530255E-009 0.22005227098210E+000 0.33782106361327E-007 0.21293576752694E-002 0.90897596079848E-005 0.31048287497226E-012 0.17601354179634E-013 0.21456106494738E-006 0.50567731726990E-001 0.49743483028471E-003 0.15451910866835E-003 0.60586934037726E-011 0.13565003671529E-004 0.48504197699970E-006 0.69607860511407E-005 0.79086979665467E-009 0.10655385080028E-004 0.32093017438425E-017 0.28669302002321E-008 0.72641538866708E+000 0.88409310859879E-038 0.32627222643331E+003 0.41909794878858E-001 -.23676447015578E+003 0.52553827797940E-001 0.10132500000000E+006 0.10326134467501E-002 0.27646231820755E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.32627222643331E+003 0.45449061307935E-001
  19 -.82855147870113E-002 0.14908273062620E-003 0.10865092996966E-011 0.87433545460001E-009 0.21988014753159E+000 0.41345544622828E-007 0.24370300304038E-002 0.10579979439741E-004 0.44336797716020E-012 0.25465504459469E-013 0.25419336911079E-006 0.50341753282979E-001 0.58049987681873E-003 0.18883556122559E-003 0.90127632381135E-011 0.16510001531286E-004 0.63492198421593E-006 0.84805728711325E-005 0.11187617815741E-008 0.13203128179686E-004 0.36379212073432E-017 0.33492334994088E-008 0.72637294149054E+000 0.83279866966120E-038 0.33031156689783E+003 0.41909794878858E-001 -.23611835003906E+003 0.52553827797940E-001 0.10132500000000E+006 0.10198869424847E-002 0.27643553934231E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33031156689783E+003 0.61047257593672E-001
  20 -.74455425124268E-002 0.15558532073090E-003 0.15712349996980E-011 0.10246656628822E-008 0.21969179460740E+000 0.49674699395029E-007 0.27515641640913E-002 0.12129044460575E-004 0.61468994647083E-012 0.35770953963731E-013 0.29786178818114E-006 0.50117902868203E-001 0.66715459193118E-003 0.22617783155449E-003 0.12906694705364E-010 0.19694225535005E-004 0.80815499010597E-006 0.10130204889133E-004 0.15316827305242E-008 0.16013077090142E-004 0.40771483107586E-017 0.38528115784223E-008 0.72633069194835E+000 0.76860220010299E-038 0.33447572106463E+003 0.41909794878858E-001 -.23547653692153E+003 0.52553827797940E-001 0.10132500000000E+006 0.10070895126503E-002 0.27640808036432E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33447572106463E+003 0.79764947374693E-001
  21 -.66719632282723E-002 0.16186392454667E-003 0.22259041219303E-011 0.11926979499409E-008 0.21948750195826E+000 0.58828979882698E-007 0.30732115930923E-002 0.13737671155680E-004 0.83284488128493E-012 0.49105170761273E-013 0.34607117230061E-006 0.49895547442926E-001 0.75744230964922E-003 0.26658666264402E-003 0.17937629448923E-010 0.23118012221766E-004 0.10058780001443E-005 0.11911434409228E-004 0.20437659051740E-008 0.19091360255532E-004 0.45286274828032E-017 0.43778924860835E-008 0.72628856921728E+000 0.69870602351843E-038 0.33876710196266E+003 0.41909794878858E-001 -.23483683678162E+003 0.52553827797940E-001 0.10132500000000E+006 0.99423035541804E-003 0.27637980768679E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.33876710196266E+003 0.10196934569622E+000
