[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 Temp (K), Cp (J/gr), Conductivity (W/cm.K), Viscosity (gr/cm.s), check this !!!                     
[NUMBER_OF_SPECIES]
           4
[NUMBER_OF_VARIABLES]
           4

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) Temp             Cp               Lambda           Eta             
 212 0.50791679604412E-001 0.18687014649388E+004 0.14724699002209E+001 0.13837115157693E-002 0.63153080968361E-003
 213 0.52365221442101E-001 0.18752481086463E+004 0.14734390849243E+001 0.13883766339273E-002 0.63306727271745E-003
 214 0.54369425733594E-001 0.18826190393195E+004 0.14745251240816E+001 0.13935125602768E-002 0.63478115174352E-003
 215 0.56939099330175E-001 0.18910057192695E+004 0.14757231343748E+001 0.13991480624126E-002 0.63670498329213E-003
 216 0.60209576276051E-001 0.19005406897911E+004 0.14770138937610E+001 0.14052452475804E-002 0.63885778208231E-003
 217 0.64294301386132E-001 0.19112198851359E+004 0.14783764263866E+001 0.14116852765165E-002 0.64123396173668E-003
 218 0.69272922330509E-001 0.19228784687050E+004 0.14798006625206E+001 0.14182892382844E-002 0.64380026584995E-003
 219 0.75193773008912E-001 0.19352529004607E+004 0.14812849885960E+001 0.14248700035314E-002 0.64650444144674E-003
 220 0.82080566630122E-001 0.19480634984631E+004 0.14828237437965E+001 0.14312826465331E-002 0.64928922522767E-003
 221 0.89935693585999E-001 0.19610590730301E+004 0.14843998093665E+001 0.14374445366346E-002 0.65210259240889E-003
 222 0.98743810502386E-001 0.19740297852038E+004 0.14859872296007E+001 0.14433252844610E-002 0.65490163911426E-003
 223 0.10848019875197E+000 0.19868099836238E+004 0.14875585767632E+001 0.14489249639050E-002 0.65765281264266E-003
 224 0.11912087631223E+000 0.19992770764065E+004 0.14890908397695E+001 0.14542554749023E-002 0.66033103411638E-003
 225 0.13064843921597E+000 0.20113453039846E+004 0.14905675736420E+001 0.14593298314301E-002 0.66291848255471E-003
 226 0.14305205165319E+000 0.20229567316031E+004 0.14919783686955E+001 0.14641581117400E-002 0.66540318693132E-003
 227 0.15632487699443E+000 0.20340737667526E+004 0.14933174518906E+001 0.14687472619091E-002 0.66777767441308E-003
 228 0.17046214431791E+000 0.20446745848755E+004 0.14945824019927E+001 0.14731023877692E-002 0.67003786993565E-003
 229 0.18545972900969E+000 0.20547497538267E+004 0.14957731117324E+001 0.14772280777437E-002 0.67218223489760E-003
 230 0.20131161955450E+000 0.20642986441732E+004 0.14968909180837E+001 0.14811291086580E-002 0.67421102236133E-003
 231 0.21800573665781E+000 0.20733258929789E+004 0.14979379194817E+001 0.14848106115851E-002 0.67612564615041E-003
 232 0.23551953602840E+000 0.20818390481927E+004 0.14989165623283E+001 0.14882782183053E-002 0.67792832395239E-003
 233 0.25381908643624E+000 0.20898485113777E+004 0.14998295651745E+001 0.14915384917194E-002 0.67962205759746E-003
 234 0.27286454934003E+000 0.20973693996475E+004 0.15006800828403E+001 0.14945993864121E-002 0.68121075267054E-003
 235 0.29261854565936E+000 0.21044227493889E+004 0.15014717973608E+001 0.14974703552592E-002 0.68269922240663E-003
 236 0.31304991927575E+000 0.21110340914449E+004 0.15022087294248E+001 0.15001620176424E-002 0.68409298434149E-003
 237 0.33413141121550E+000 0.21172306168340E+004 0.15028949208032E+001 0.15026855571115E-002 0.68539791517625E-003
 238 0.35583658338770E+000 0.21230392331258E+004 0.15035342336505E+001 0.15050521258109E-002 0.68661991270644E-003
 239 0.37813937424931E+000 0.21284859539937E+004 0.15041302996365E+001 0.15072724736714E-002 0.68776468563152E-003
 240 0.40101479541864E+000 0.21335957262636E+004 0.15046865155222E+001 0.15093568011475E-002 0.68883766777238E-003
 241 0.42443889914290E+000 0.21383921893905E+004 0.15052060315604E+001 0.15113147100592E-002 0.68984398570706E-003
 242 0.44838831839630E+000 0.21428974875829E+004 0.15056917457114E+001 0.15131551801538E-002 0.69078844094249E-003
 243 0.47284032574663E+000 0.21471322635902E+004 0.15061463155398E+001 0.15148865543439E-002 0.69167549916644E-003
 244 0.49777301024882E+000 0.21511156934748E+004 0.15065721722830E+001 0.15165165278616E-002 0.69250928359881E-003
 245 0.52316440960303E+000 0.21548654159348E+004 0.15069715234792E+001 0.15180521564397E-002 0.69329357777012E-003
 246 0.54899112508369E+000 0.21583974952066E+004 0.15073463595972E+001 0.15194998981123E-002 0.69403184477684E-003
 247 0.57522835422140E+000 0.21617266099413E+004 0.15076984826633E+001 0.15208656741477E-002 0.69472725778495E-003
 248 0.60185129304218E+000 0.21648663374683E+004 0.15080295418605E+001 0.15221549317136E-002 0.69538273356896E-003
 249 0.62883585654585E+000 0.21678292908812E+004 0.15083410525424E+001 0.15233727025991E-002 0.69600096408514E-003
 250 0.65615828436423E+000 0.21706271404139E+004 0.15086344034283E+001 0.15245236509159E-002 0.69658444134671E-003
 251 0.68379517204695E+000 0.21732706859372E+004 0.15089108683076E+001 0.15256120992337E-002 0.69713547152422E-003
 252 0.71172396967226E+000 0.21757699504228E+004 0.15091716185494E+001 0.15266420395464E-002 0.69765618201760E-003
 253 0.73992239557518E+000 0.21781341840173E+004 0.15094177265048E+001 0.15276171526255E-002 0.69814853214912E-003
 254 0.76836739500225E+000 0.21803718665242E+004 0.15096501692147E+001 0.15285408361141E-002 0.69861432756466E-003
 255 0.79703546702774E+000 0.21824908116004E+004 0.15098698415402E+001 0.15294162259291E-002 0.69905523190838E-003
 256 0.82590342527818E+000 0.21844982691914E+004 0.15100775680714E+001 0.15302462171738E-002 0.69947277888645E-003
 257 0.85494806550230E+000 0.21864009474453E+004 0.15102741069181E+001 0.15310334871059E-002 0.69986838491574E-003
 258 0.88414551819795E+000 0.21882050261273E+004 0.15104601527254E+001 0.15317805090086E-002 0.70024335666784E-003
 259 0.91347098653935E+000 0.21899161974152E+004 0.15106363422560E+001 0.15324895648447E-002 0.70059889786383E-003
 260 0.94289862950109E+000 0.21915397155002E+004 0.15108032608676E+001 0.15331627700916E-002 0.70093612207394E-003
 261 0.97240210686076E+000 0.21930804711415E+004 0.15109614512476E+001 0.15338021022087E-002 0.70125606750975E-003
 262 0.10019558795353E+001 0.21945430768820E+004 0.15111114225414E+001 0.15344094205557E-002 0.70155970795640E-003
 263 0.10315358893024E+001 0.21959319030411E+004 0.15112536542666E+001 0.15349864790753E-002 0.70184796008396E-003
 264 0.10611191773292E+001 0.21972510674985E+004 0.15113885957489E+001 0.15355349311538E-002 0.70212168647481E-003
 265 0.10906832909461E+001 0.21985044248293E+004 0.15115166655265E+001 0.15360563256308E-002 0.70238169392533E-003
 266 0.11202054989258E+001 0.21996955598609E+004 0.15116382514273E+001 0.15365521086135E-002 0.70262873424124E-003
 267 0.11496622681891E+001 0.22008278047898E+004 0.15117537134084E+001 0.15370236435541E-002 0.70286351389208E-003
 268 0.11790309739468E+001 0.22019043241700E+004 0.15118633926729E+001 0.15374722352556E-002 0.70308670636101E-003
 269 0.12082931298454E+001 0.22029282093522E+004 0.15119676205152E+001 0.15378991360682E-002 0.70329895670236E-003
 270 0.12374346367640E+001 0.22039024554656E+004 0.15120667153120E+001 0.15383055345592E-002 0.70350087706312E-003
 271 0.12664417960445E+001 0.22048298405776E+004 0.15121609709702E+001 0.15386925415638E-002 0.70369303933698E-003
 272 0.12952978645352E+001 0.22057128673248E+004 0.15122506524627E+001 0.15390611897942E-002 0.70387597380855E-003
 273 0.13239845758658E+001 0.22065538468945E+004 0.15123360049258E+001 0.15394124499043E-002 0.70405017706162E-003
 274 0.13524868458235E+001 0.22073550254660E+004 0.15124172656136E+001 0.15397472416493E-002 0.70421611889097E-003
 275 0.13807937637324E+001 0.22081185874832E+004 0.15124946634670E+001 0.15400664307046E-002 0.70437424174085E-003
 276 0.14088937351453E+001 0.22088465439345E+004 0.15125684086687E+001 0.15403708297079E-002 0.70452496057353E-003
 277 0.14367719601993E+001 0.22095407100324E+004 0.15126386915677E+001 0.15406612065309E-002 0.70466866605981E-003
 278 0.14644148923474E+001 0.22102028228364E+004 0.15127056942800E+001 0.15409382887999E-002 0.70480572725559E-003
 279 0.14918135813377E+001 0.22108346031830E+004 0.15127695963067E+001 0.15412027738529E-002 0.70493649737351E-003
 280 0.15189617942586E+001 0.22114377112372E+004 0.15128305703224E+001 0.15414553424117E-002 0.70506132065622E-003
 281 0.15458555622961E+001 0.22120137378819E+004 0.15128887814141E+001 0.15416966521027E-002 0.70518052922192E-003
 282 0.15724939772966E+001 0.22125642150833E+004 0.15129443878316E+001 0.15419273227286E-002 0.70529443603930E-003
 283 0.15988764524717E+001 0.22130905696059E+004 0.15129975366599E+001 0.15421479391520E-002 0.70540333621021E-003
 284 0.16250015775220E+001 0.22135941163321E+004 0.15130483634686E+001 0.15423590520528E-002 0.70550750717799E-003
 285 0.16508690717728E+001 0.22140760991373E+004 0.15130969962356E+001 0.15425611734932E-002 0.70560720672211E-003
 286 0.16764792801884E+001 0.22145376885759E+004 0.15131435552446E+001 0.15427547853840E-002 0.70570267708946E-003
 287 0.17018322980746E+001 0.22149799802962E+004 0.15131881533273E+001 0.15429403530780E-002 0.70579415140480E-003
 288 0.17269310029666E+001 0.22154040497238E+004 0.15132309013066E+001 0.15431183376888E-002 0.70588185996422E-003
 289 0.17517858024673E+001 0.22158110130168E+004 0.15132719134574E+001 0.15432891976221E-002 0.70596603175820E-003
 290 0.17764139142236E+001 0.22162019995695E+004 0.15133113042495E+001 0.15434533890140E-002 0.70604689543080E-003
 291 0.18008365125828E+001 0.22165780982698E+004 0.15133491821938E+001 0.15436113594160E-002 0.70612467764013E-003
 292 0.18250806437951E+001 0.22169403516038E+004 0.15133856465576E+001 0.15437634981304E-002 0.70619958256002E-003
 293 0.18491736249548E+001 0.22172896179286E+004 0.15134207689732E+001 0.15439100074747E-002 0.70627173449720E-003
 294 0.18731063509966E+001 0.22176260641729E+004 0.15134545391352E+001 0.15440506768401E-002 0.70634106954406E-003
 295 0.18967534488990E+001 0.22179483208846E+004 0.15134867844619E+001 0.15441846835630E-002 0.70640722842525E-003
 296 0.19197906867603E+001 0.22182529723365E+004 0.15135171373114E+001 0.15443107459112E-002 0.70646960880893E-003
 297 0.19417425481721E+001 0.22185357231107E+004 0.15135451729543E+001 0.15444278238998E-002 0.70652769347104E-003
 298 0.19622718070819E+001 0.22187947798265E+004 0.15135707418553E+001 0.15445359508220E-002 0.70658147161407E-003
 299 0.19815033585181E+001 0.22190339332396E+004 0.15135942493950E+001 0.15446366408043E-002 0.70663166434142E-003
 300 0.20000000000000E+001 0.22192619182832E+004 0.15136165883414E+001 0.15446858923473E-002 0.70665624280315E-003
