[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          27

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac         
  11 -.32041460032013E-001 -.72515813770888E-012 -.36071536948563E-013 -.34781799043165E-012 -.82586032263989E-010 -.88483947596456E-010 0.12769214247282E-009 0.43546023977333E-010 -.88863320961523E-016 -.46363436955734E-017 0.74708298177379E-010 -.12271147866276E-009 0.42620099120334E-013 0.96152453505132E-013 -.13416814164909E-015 0.85799040949941E-010 -.46814192107421E-010 0.33866694401959E-013 -.34235309273169E-013 0.44402619938909E-011 -.68689943946321E-020 0.68681008144938E-020 0.44679006913992E-024 0.00000000000000E+000 0.24274633661232E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.22015401266016E-001 -.18702684380062E-010 -.82560782745924E-012 -.64937302721590E-011 -.21783056782529E-008 -.98921630355942E-009 0.21759200037861E-008 0.98769316454084E-009 -.33369419598334E-014 -.17778108871268E-015 0.46637455159872E-009 -.18817415600369E-008 0.91601564310729E-011 0.88725291856127E-011 -.98092103200458E-014 0.23742104153010E-008 -.12000907634540E-008 0.18803664682858E-011 -.17017400148243E-011 0.11143537100045E-009 -.30645852456764E-019 0.30623126586331E-019 0.11362935216597E-022 0.00000000000000E+000 0.63689417135766E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.16955425347724E-001 -.95804318731201E-010 -.58235223607245E-011 -.30795489572719E-010 -.11174012263900E-007 -.32041145825297E-008 0.96924724270638E-008 0.46274267551552E-008 -.24721111400952E-013 -.13595582486115E-014 -.36694391515014E-009 -.72979676411626E-008 0.12105738333249E-009 0.82003465164644E-010 -.10253676946206E-012 0.12684626056123E-007 -.63339791705580E-008 0.16443726811255E-010 -.13607675260607E-010 0.55283016829440E-009 -.71802169985925E-019 0.71686843854000E-019 0.57663065962242E-022 0.00000000000000E+000 0.35033691141335E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.14151201452324E-001 -.23462956221318E-009 -.19994112081039E-010 -.75115125144381E-010 -.26914589204109E-007 -.60480775979095E-008 0.22570637132883E-007 0.10182850802524E-007 -.79267209320073E-013 -.45105863596805E-014 -.42966918617959E-008 -.15178278378045E-007 0.47281316530447E-009 0.26765965831436E-009 -.39245158070895E-012 0.31321043270757E-007 -.15312750907890E-007 0.54856289659886E-010 -.42789784149063E-010 0.13512741358547E-008 -.12247391731247E-018 0.12219373226959E-018 0.14009252144293E-021 0.00000000000000E+000 0.90132781859996E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.12292495924096E-001 -.42653932613690E-009 -.47026823014585E-010 -.13750456121034E-009 -.47497705959678E-007 -.93109940825521E-008 0.39927497783319E-007 0.16415178611257E-007 -.17305032221961E-012 -.10152458651408E-013 -.11459131986274E-007 -.24642488491813E-007 0.11313757922664E-008 0.57392017599186E-009 -.93917229348049E-012 0.56150276314125E-007 -.26742497728978E-007 0.12168446467285E-009 -.90885472635421E-010 0.24640351578407E-008 -.18090789423099E-018 0.18040796556307E-018 0.24996433395756E-021 0.00000000000000E+000 0.16799155142076E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.10870326420547E-001 -.67837321722348E-009 -.92058312460488E-010 -.22031192452191E-009 -.72768980743164E-007 -.13133145837979E-007 0.62155568309607E-007 0.22903360165757E-007 -.31673673964570E-012 -.19086501966667E-013 -.22059377930926E-007 -.35841014072382E-007 0.21684686496734E-008 0.10174479669131E-008 -.18078862376984E-011 0.86950966441519E-007 -.40223392531323E-007 0.22427708910658E-009 -.16178674607112E-009 0.39320322499666E-008 -.24976191167035E-018 0.24898871892172E-018 0.38659637431182E-021 0.00000000000000E+000 0.26974951678506E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  17 -.96899850211620E-002 -.10040219045664E-008 -.16363582057720E-009 -.32803193412751E-009 -.10316767590331E-006 -.17687136297780E-007 0.90108776036120E-007 0.29382403274616E-007 -.52850360823643E-012 -.32626927509069E-013 -.36590054372015E-007 -.49158531147632E-007 0.36795149084567E-008 0.16252631406947E-008 -.31022581698086E-011 0.12418943545987E-006 -.55639436938708E-007 0.37372793902928E-009 -.26185156677813E-009 0.58368597967667E-008 -.33237136307996E-018 0.33126719594914E-018 0.55208356541080E-021 0.00000000000000E+000 0.39881108924778E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  18 -.86652005003587E-002 -.14206913751893E-008 -.27475872895211E-009 -.46615911269270E-009 -.13920949524469E-006 -.23131034882981E-007 0.12474876637867E-006 0.35537612114058E-007 -.83281261291710E-012 -.52573151716895E-013 -.55673329581451E-007 -.65018494625595E-007 0.57757533657662E-008 0.24293296517751E-008 -.49587196529668E-011 0.16839579793503E-006 -.72833058006848E-007 0.58424621805306E-009 -.39926271520605E-009 0.82799391805223E-008 -.43219663754673E-018 0.43069927758855E-018 0.74867997908908E-021 0.00000000000000E+000 0.55913279281928E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  19 -.77509083463604E-002 -.19486955677536E-008 -.44543168659785E-009 -.64110001582279E-009 -.18142074255788E-006 -.29615387067923E-007 0.16710011469320E-006 0.40991976313773E-007 -.12608605360021E-011 -.81271246266723E-013 -.80009912298332E-007 -.83878423621448E-007 0.85811695391297E-008 0.34651607872085E-008 -.75463551135322E-011 0.22007046161493E-006 -.91560501495158E-007 0.87331548433009E-009 -.58407653188732E-009 0.11381228027842E-007 -.55299148459484E-018 0.55103466931714E-018 0.97840763885356E-021 0.00000000000000E+000 0.75493469837152E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  20 -.69203366938048E-002 -.26119132380758E-008 -.70803371887207E-009 -.86030442696438E-009 -.23035037019781E-006 -.37292389729308E-007 0.21825842345977E-006 0.45319670573638E-007 -.18518881130227E-011 -.12173374901088E-012 -.11036908394920E-006 -.10624370289471E-006 0.12231984380722E-007 0.47717119552766E-008 -.11071492716007E-010 0.27968575517727E-006 -.11149442203168E-006 0.12621745985520E-008 -.82851210093790E-009 0.15281738740836E-007 -.69897389486764E-018 0.69648776442316E-018 0.12430652222399E-020 0.00000000000000E+000 0.99071267824824E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
