[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          27

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac         
  76 0.14190597288167E-001 0.89530762557106E-005 -.19132547512043E-003 -.59555627467117E-005 -.16980699984902E-003 -.13112886019204E-004 0.22746236805903E-003 0.19152074757306E-004 -.89488866398321E-007 -.78687809097790E-008 -.84217455945853E-004 -.11582318974659E-003 0.36868672674969E-004 0.80770391037590E-005 -.34251360660524E-006 0.31014128371459E-004 0.92215652380966E-005 0.42610521323004E-005 -.18695706111569E-005 0.55258074257892E-004 -.48719748940856E-014 0.48710265933297E-014 0.47415037793466E-018 0.00000000000000E+000 0.11839113044044E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  77 0.14449125938630E-001 0.10723314565314E-004 -.20291802892893E-003 -.64922532307944E-005 -.17869887271323E-003 -.14139304691582E-004 0.24323707129560E-003 0.18276460730058E-004 -.10124907498648E-006 -.88711345154296E-008 -.90203891629451E-004 -.12387116634148E-003 0.40184366057441E-004 0.86599384234280E-005 -.38432692623822E-006 0.32652128074011E-004 0.84672665354511E-005 0.44827126473266E-005 -.20029602594068E-005 0.59823150620252E-004 -.56025406193310E-014 0.56014861535596E-014 0.52723288570761E-018 0.00000000000000E+000 0.12645345566475E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  78 0.14706321237435E-001 0.12749335772518E-004 -.21502193233440E-003 -.70611115360172E-005 -.18798053396330E-003 -.15295921331327E-004 0.25984842747808E-003 0.17304588214621E-004 -.11461246947999E-006 -.10005612883711E-007 -.96553749743495E-004 -.13239934484734E-003 0.43764228270129E-004 0.92763914193367E-005 -.43083503389716E-006 0.34363787955233E-004 0.76105328500344E-005 0.47148966092927E-005 -.21462358893126E-005 0.64678142886203E-004 -.64426455560115E-014 0.64414720623660E-014 0.58674682274914E-018 0.00000000000000E+000 0.13494361255105E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  79 0.14962242464913E-001 0.15059135697520E-004 -.22768343261717E-003 -.76629075612124E-005 -.19768967609358E-003 -.16595276566569E-004 0.27734320690111E-003 0.16244959092614E-004 -.12980705611946E-006 -.11290609425333E-007 -.10327565009179E-003 -.14144758656425E-003 0.47628205947144E-004 0.99284981497541E-005 -.48250186118246E-006 0.36141387705575E-004 0.66603231301495E-005 0.49585899449055E-005 -.22992299562917E-005 0.69834850636460E-004 -.74087298839776E-014 0.74074228647627E-014 0.65350960748859E-018 0.00000000000000E+000 0.14388521597747E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  80 0.15216941974778E-001 0.17682790743312E-004 -.24095540586414E-003 -.82984471870515E-005 -.20786845429538E-003 -.18050052883063E-004 0.29577274260576E-003 0.15107261667133E-004 -.14709134469340E-006 -.12746929928069E-007 -.11037577030054E-003 -.15106022549327E-003 0.51797711137785E-004 0.10618567096841E-004 -.53982398381446E-006 0.37975140989237E-004 0.56279803754436E-005 0.52148356046542E-005 -.24615165353707E-005 0.75304810157186E-004 -.85196760892840E-014 0.85182192067683E-014 0.72844125787878E-018 0.00000000000000E+000 0.15330370735731E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  81 0.15470478436543E-001 0.20652672933038E-004 -.25489809709134E-003 -.89686294597244E-005 -.21856423381261E-003 -.19673084932790E-004 0.31519426223275E-003 0.13902256854810E-004 -.16675863863725E-006 -.14398111528214E-007 -.11785785304261E-003 -.16128683894498E-003 0.56295944686992E-004 0.11349170066241E-004 -.60333333107666E-006 0.39853472569634E-004 0.45269820075313E-005 0.54847513483191E-005 -.26323898963751E-005 0.81099444917276E-004 -.97972303710988E-014 0.97956052132949E-014 0.81257890193833E-018 0.00000000000000E+000 0.16322690626387E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  82 0.15722915731742E-001 0.24003583307263E-004 -.26957910289842E-003 -.96744756241096E-005 -.22982984417162E-003 -.21477325058201E-004 0.33567136231320E-003 0.12641699332303E-004 -.18914116104885E-006 -.16270735254215E-007 -.12572287552940E-003 -.17218257579437E-003 0.61148053556037E-004 0.12123166295697E-004 -.67359759144637E-006 0.41763291925352E-004 0.33726475551549E-005 0.57695398191552E-005 -.28108372174286E-005 0.87229948137911E-004 -.11266447087747E-013 0.11264632912034E-013 0.90708785619175E-018 0.00000000000000E+000 0.17368510586827E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  83 0.15974314202556E-001 0.27772773407628E-004 -.28507273986900E-003 -.10417134838421E-004 -.24172344797086E-003 -.23475754290201E-004 0.35727379638598E-003 0.11338287804909E-004 -.21461381051528E-006 -.18394711875158E-007 -.13396844240189E-003 -.18380810792697E-003 0.66381132732685E-004 0.12943701349934E-004 -.75121776644795E-006 0.43690285607077E-004 0.21818097883995E-005 0.60704942892659E-005 -.29955070722262E-005 0.93706936352761E-004 -.12956148149591E-013 0.12954121615919E-013 0.10132668359878E-017 0.00000000000000E+000 0.18471079942539E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  84 0.16224726306659E-001 0.31999964016847E-004 -.30145940215866E-003 -.11197895349474E-004 -.25430848106428E-003 -.25681303303524E-004 0.38007741862322E-003 0.10005584959478E-004 -.24359815875957E-006 -.20803579009707E-007 -.14258823659674E-003 -.19622963444910E-003 0.72024257708479E-004 0.13814212179204E-004 -.83682489221160E-006 0.45619309262468E-004 0.97240578733300E-006 0.63890126009810E-005 -.31846822769537E-005 0.10054012604514E-003 -.14899448603984E-013 0.14897183509639E-013 0.11325471723689E-017 0.00000000000000E+000 0.19633846878307E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  85 0.16474197963652E-001 0.36727422476325E-004 -.31882508262540E-003 -.12018208955294E-004 -.26765378912588E-003 -.28106815830492E-004 0.40416452209172E-003 0.86578890239778E-005 -.27656706097949E-006 -.23534836585029E-007 -.15157162781059E-003 -.20951907389846E-003 0.78108616183382E-004 0.14738447781397E-004 -.93107689640461E-006 0.47534882669995E-004 -.23701463903004E-006 0.67266235877141E-005 -.33762602436630E-005 0.10773811090959E-003 -.17134385029193E-013 0.17131852064640E-013 0.12664822764436E-017 0.00000000000000E+000 0.20860455855818E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  86 0.16722769692797E-001 0.42000041798425E-004 -.33726077268039E-003 -.12879713612592E-004 -.28183373005346E-003 -.30765023188088E-004 0.42962415060304E-003 0.73100846968099E-005 -.31404953443037E-006 -.26630300463537E-007 -.16090327985754E-003 -.22375422612726E-003 0.84667645790545E-004 0.15720489797568E-004 -.10346543556043E-005 0.49421724897490E-004 -.14278190363278E-005 0.70850211963355E-005 -.35677380043948E-005 0.11530811617107E-003 -.19704633737876E-013 0.19701800304094E-013 0.14167168912205E-017 0.00000000000000E+000 0.22154742306366E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  87 0.16970474788340E-001 0.47865352204689E-004 -.35686153424449E-003 -.13784243054063E-004 -.29692806803167E-003 -.33668496057806E-004 0.45655206913653E-003 0.59774910779888E-005 -.35663541389708E-006 -.30136447460214E-007 -.17056264808942E-003 -.23901872482831E-003 0.91737095115524E-004 0.16764760855926E-004 -.11482537771189E-005 0.51265284928191E-004 -.25818241183933E-005 0.74661029531527E-005 -.37562007034458E-005 0.12325563863777E-003 -.22660295710180E-013 0.22657125870453E-013 0.15849198633544E-017 0.00000000000000E+000 0.23520708907602E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  88 0.17217339688753E-001 0.54373552883275E-004 -.37772560622228E-003 -.14733839073136E-004 -.31302191962738E-003 -.36829620290228E-004 0.48505086376836E-003 0.46756802241634E-005 -.40498027881037E-006 -.34104789407359E-007 -.18052355310848E-003 -.25540203672457E-003 0.99355124817460E-004 0.17876038673452E-004 -.12725798811960E-005 0.53052282584146E-004 -.36818304919353E-005 0.78720204292850E-005 -.39383187944878E-005 0.13158411796488E-003 -.26058799659665E-013 0.26055254339353E-013 0.17726601560620E-017 0.00000000000000E+000 0.24962507847713E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  89 0.17463391566392E-001 0.61577753551293E-004 -.39995411115533E-003 -.15730789542299E-004 -.33020617123366E-003 -.40260684568012E-004 0.51523089380098E-003 0.34202442557063E-005 -.45981198023228E-006 -.38592359391957E-007 -.19075407024954E-003 -.27299994134517E-003 0.10756265287675E-003 0.19059504616317E-004 -.14083400370420E-005 0.54771265837208E-004 -.47121536742784E-005 0.83052532454506E-005 -.41103585018830E-005 0.14029484841412E-003 -.29966043841006E-013 0.29962081448977E-013 0.19811960143146E-017 0.00000000000000E+000 0.26484465759030E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  90 0.17708667612230E-001 0.69534401341122E-004 -.42365116311628E-003 -.16777678856730E-004 -.34857820634411E-003 -.43974053536426E-004 0.54721175217105E-003 0.22265546663803E-005 -.52193883319852E-006 -.43662308807907E-007 -.20121655352160E-003 -.29191534025023E-003 0.11640387612432E-003 0.20320814582597E-004 -.15562400995221E-005 0.56413107378259E-004 -.56590890251382E-005 0.87687034136288E-005 -.42682001974453E-005 0.14938700976048E-003 -.34457812451624E-013 0.34453390208824E-013 0.22111213995225E-017 0.00000000000000E+000 0.28091133265511E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  91 0.17953216453607E-001 0.78303612956719E-004 -.44892353128885E-003 -.17877411329424E-004 -.36824228493400E-003 -.47982285793869E-004 0.58112305074832E-003 0.11095742178085E-005 -.59225761583720E-006 -.49384490908288E-007 -.21186736180897E-003 -.31225871572920E-003 0.12592664745916E-003 0.21666146183152E-004 -.17169765403808E-005 0.57971350974318E-004 -.65112464916662E-005 0.92657945058256E-005 -.44073569094380E-005 0.15885746143378E-003 -.39621359417146E-013 0.39616435865524E-013 0.24617758105317E-017 0.00000000000000E+000 0.29787299096898E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  92 0.18197091238219E-001 0.87949235045300E-004 -.47587950491911E-003 -.19033194400146E-004 -.38930928867361E-003 -.52298123784169E-004 0.61710407254802E-003 0.83717429818890E-007 -.67175984647745E-006 -.55835929062963E-007 -.22265619332055E-003 -.33414792064875E-003 0.13618255452915E-003 0.23102203062087E-004 -.18912218736171E-005 0.59442406220691E-004 -.72597569220825E-005 0.98005695462987E-005 -.45229952998049E-005 0.16870018811781E-003 -.45557071330327E-013 0.45551610768473E-013 0.27302809265503E-017 0.00000000000000E+000 0.31577946700985E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  93 0.18440342375359E-001 0.98538768358303E-004 -.50462750083300E-003 -.20248508140415E-004 -.41189623473712E-003 -.56934432100407E-004 0.65530304245513E-003 -.83729101465902E-006 -.76153693447486E-006 -.63101247478005E-007 -.23352535261027E-003 -.35770769884890E-003 0.14722688527076E-003 0.24636204910168E-004 -.20796059524896E-005 0.60825650113322E-004 -.78983900150472E-005 0.10377798401242E-004 -.46099685417724E-005 0.17890564279774E-003 -.52380284285222E-013 0.52374264264467E-013 0.30100103773478E-017 0.00000000000000E+000 0.33468192555577E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  94 0.18683023304442E-001 0.11014377269144E-003 -.53527607367971E-003 -.21527130848756E-004 -.43612685731181E-003 -.61904353818229E-004 0.69587820962718E-003 -.16406091899036E-005 -.86278895780482E-006 -.71273436609116E-007 -.24440958259780E-003 -.38307029456752E-003 0.15911911810792E-003 0.26275951509874E-004 -.22827035755113E-005 0.62123504788039E-004 -.84236143571915E-005 0.11003128159437E-004 -.46628670329701E-005 0.18946058041683E-003 -.60223684090004E-013 0.60217107663206E-013 0.32882133990085E-017 0.00000000000000E+000 0.35463315006840E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  95 0.18925218812795E-001 0.12284165942318E-003 -.56793738288700E-003 -.22873299961330E-004 -.46213494744962E-003 -.67222027201667E-004 0.73900340633385E-003 -.23145025768047E-005 -.97684555150785E-006 -.80455418307368E-007 -.25523690730438E-003 -.41037895511899E-003 0.17192478292064E-003 0.28030072996958E-004 -.25010424707952E-005 0.63341510412783E-004 -.88345760437821E-005 0.11683323160750E-004 -.46760748460525E-005 0.20034895947399E-003 -.69241100333932E-013 0.69234015616755E-013 0.35423585884289E-017 0.00000000000000E+000 0.37568999409929E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  96 0.19167068150135E-001 0.13671805364113E-003 -.60273150121717E-003 -.24291894077660E-004 -.49006852919819E-003 -.72903441328015E-004 0.78487463537129E-003 -.28484440929335E-005 -.11051942714766E-005 -.90761951080867E-007 -.26592912860659E-003 -.43979234586638E-003 0.18571776543313E-003 0.29908333698191E-004 -.27351159879214E-005 0.64488233936058E-004 -.91329042406299E-005 0.12426553264726E-004 -.46438041407254E-005 0.21155280980435E-003 -.79612514120811E-013 0.79605045204184E-013 0.37344583133274E-017 0.00000000000000E+000 0.39791620585293E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  97 0.19408736355541E-001 0.15186669451100E-003 -.63978409527939E-003 -.25788340616998E-004 -.52008892494597E-003 -.78966200665040E-004 0.83370799873889E-003 -.32330256726407E-005 -.12494900393922E-005 -.10232026988193E-006 -.27639978735868E-003 -.47148358006944E-003 0.20058010990565E-003 0.31921592151992E-004 -.29853508608988E-005 0.65574857425631E-004 -.93223570855421E-005 0.13242577519838E-004 -.45601217938967E-005 0.22305070737434E-003 -.91548182205325E-013 0.91540577698638E-013 0.38022533431540E-017 0.00000000000000E+000 0.42138093061743E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  98 0.19650357049021E-001 0.16838660684746E-003 -.67921790551027E-003 -.27368287144309E-004 -.55236476379461E-003 -.85428259217262E-004 0.88572963900842E-003 -.34599283276997E-005 -.14115382620471E-005 -.11526903934153E-006 -.28655084909768E-003 -.50563381940819E-003 0.21659930580151E-003 0.34081429178468E-004 -.32520300724327E-005 0.66614654905429E-004 -.94084974989481E-005 0.14142808351343E-004 -.44190298534496E-005 0.23481452824873E-003 -.10529112239607E-012 0.10528383073440E-012 0.36458308349070E-017 0.00000000000000E+000 0.44615344427748E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  99 0.19892013278108E-001 0.18638024292268E-003 -.72114752430775E-003 -.29037421202616E-004 -.58706840460784E-003 -.92307189366479E-004 0.94117007312764E-003 -.35221165032927E-005 -.15932815979347E-005 -.12975736878823E-006 -.29627135420629E-003 -.54242831645037E-003 0.23386674452519E-003 0.36399946601295E-004 -.35352335309363E-005 0.67622644735746E-004 -.93984693899938E-005 0.15140439050905E-004 -.42146047156809E-005 0.24680770400582E-003 -.12112045764109E-012 0.12111424223407E-012 0.31077035092011E-017 0.00000000000000E+000 0.47230020852826E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 100 0.20133766237777E-001 0.20595457373665E-003 -.76568190299251E-003 -.30801695824966E-004 -.62437847202197E-003 -.99620603211712E-004 0.10002683275758E-002 -.34140691086118E-005 -.17968090235913E-005 -.14594720287563E-006 -.30543918863158E-003 -.58205846463245E-003 0.25247926091757E-003 0.38889980173588E-004 -.38348690979312E-005 0.68615248062079E-004 -.93005466461999E-005 0.16250722975878E-004 -.39411601853915E-005 0.25898610525021E-003 -.13935784782358E-012 0.13935396132134E-012 0.19432511208041E-017 0.00000000000000E+000 0.49988691687348E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 101 0.20375702395462E-001 0.22722544761825E-003 -.81293121440012E-003 -.32667244647254E-004 -.66448701853024E-003 -.10738791125962E-003 0.10632835976649E-002 -.31319599712269E-005 -.20244086502709E-005 -.16401270640731E-006 -.31391898028326E-003 -.62473090705446E-003 0.27254279122098E-003 0.41565609694977E-004 -.41505459114021E-005 0.69610638351579E-004 -.91245879665843E-005 0.17491509427525E-004 -.35932488941510E-005 0.27129894111905E-003 -.16037797098043E-012 0.16037841810677E-012 -.22356317088967E-018 0.00000000000000E+000 0.52898249931987E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 102 0.20617970640180E-001 0.25032152554376E-003 -.86301663058619E-003 -.34641396822041E-004 -.70760824359921E-003 -.11563127615495E-003 0.11305076426198E-002 -.26734598815650E-005 -.22786022493891E-005 -.18414865217929E-006 -.32156786747626E-003 -.67067391028275E-003 0.29417734400306E-003 0.44442801567358E-004 -.44818407054390E-005 0.70627593909765E-004 -.88802632080056E-005 0.18883680487663E-004 -.31658998621721E-005 0.28369166592143E-003 -.18462209279681E-012 0.18463002541597E-012 -.39663095806435E-017 0.00000000000000E+000 0.55966607106227E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 103 0.20860773480111E-001 0.27538670932834E-003 -.91607026110747E-003 -.36732301540533E-004 -.75398133149719E-003 -.12437636942184E-003 0.12022687271695E-002 -.20376907559390E-005 -.25621896881149E-005 -.20656915294144E-006 -.32822975301638E-003 -.72014205662088E-003 0.31751863261050E-003 0.47539643318180E-004 -.48281050652948E-005 0.71685790111282E-004 -.85776162063817E-005 0.20451681853130E-004 -.26545175423019E-005 0.29610394754419E-003 -.21261219938445E-012 0.21263250960956E-012 -.10155112557741E-016 0.00000000000000E+000 0.59202672476693E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 104 0.21104307018489E-001 0.30257587548240E-003 -.97222354706328E-003 -.38948628796437E-004 -.80386252599220E-003 -.13365052914202E-003 0.12789183572797E-002 -.12253007784375E-005 -.28782083093911E-005 -.23150657915349E-006 -.33373290972717E-003 -.77340701476829E-003 0.34271457525911E-003 0.50875884625926E-004 -.51884029257320E-005 0.72805118129525E-004 -.82266057597303E-005 0.22223601410610E-004 -.20551060936842E-005 0.30846603971053E-003 -.24496067799492E-012 0.24500088126834E-012 -.20101636708647E-016 0.00000000000000E+000 0.62615693323122E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 105 0.21348717096109E-001 0.33204986763546E-003 -.10315949573538E-002 -.41299155430840E-004 -.85751614616804E-003 -.14348095731105E-003 0.13608171023839E-002 -.23875816739862E-006 -.32298745191109E-005 -.25920768457610E-006 -.33788848333947E-003 -.83074750029718E-003 0.36992115787417E-003 0.54472412865711E-004 -.55614023998366E-005 0.74005201900788E-004 -.78369643600838E-005 0.24231145878725E-004 -.13645519653217E-005 0.32069573606640E-003 -.28237970322509E-012 0.28245124180511E-012 -.35769290010549E-016 0.00000000000000E+000 0.66214575723581E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 106 0.21594117753273E-001 0.36397624736059E-003 -.10942903245440E-002 -.43792854152919E-004 -.91521647911452E-003 -.15389501312437E-003 0.14483373741428E-002 0.91748390653112E-006 -.36205792760339E-005 -.28993300347456E-006 -.34049138067759E-003 -.89245076223246E-003 0.39930375239354E-003 0.58351460593000E-004 -.59453543453968E-005 0.75305172727371E-004 -.74180087368371E-005 0.26509919264476E-004 -.58080223322367E-006 0.33269869924769E-003 -.32569892055853E-012 0.32581907960790E-012 -.60079524688055E-016 0.00000000000000E+000 0.70007989053575E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 107 0.21840629862384E-001 0.39853363228932E-003 -.11604096724966E-002 -.46439250909196E-004 -.97725611249435E-003 -.16492161005204E-003 0.15418756934906E-002 0.22370260491623E-005 -.40539231845301E-005 -.32395897779749E-006 -.34132107490510E-003 -.95882090196078E-003 0.43104176071986E-003 0.62537256614921E-004 -.63381128190663E-005 0.76723599998730E-004 -.69784211444508E-005 0.29099939153859E-004 0.29707058935899E-006 0.34436987808589E-003 -.37589188661113E-012 0.37608660640564E-012 -.97359897255438E-016 0.00000000000000E+000 0.74004868783099E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 108 0.22088397538018E-001 0.43591471888252E-003 -.12300502773501E-002 -.49248655442565E-004 -.10439517723003E-002 -.17659203710124E-003 0.16418607195597E-002 0.37115852652712E-005 -.45337370469862E-005 -.36157954912806E-006 -.34014127428454E-003 -.10301844463226E-002 0.46533210087498E-003 0.67056530242102E-004 -.67371294637178E-005 0.78278406615625E-004 -.65260918912601E-005 0.32046085699330E-004 0.12688055336891E-005 0.35559371917977E-003 -.43410686681553E-012 0.43441486068065E-012 -.15399693256328E-015 0.00000000000000E+000 0.78214701612242E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 109 0.22337587438394E-001 0.47632749990034E-003 -.13033055530137E-002 -.52232251415260E-004 -.11156469955981E-002 -.18894013607609E-003 0.17487562521048E-002 0.53310021506856E-005 -.50640770790511E-005 -.40310601912151E-006 -.33669917675296E-003 -.11068924104550E-002 0.50239116828767E-003 0.71938826176259E-004 -.71394212903974E-005 0.79986761746112E-004 -.60680393166978E-005 0.35398413000532E-004 0.23328611562687E-005 0.36624346319478E-003 -.50170175661296E-012 0.50218052453646E-012 -.23938396174671E-015 0.00000000000000E+000 0.82647577431498E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 110 0.22588384779453E-001 0.51999588999767E-003 -.13802624925268E-002 -.55402155254571E-004 -.11927139618617E-002 -.20200228543126E-003 0.18630628414404E-002 0.70832157895530E-005 -.56492045801444E-005 -.44886554497176E-006 -.33072488941496E-003 -.11893213021560E-002 0.54245643540812E-003 0.77216788158320E-004 -.75415311669105E-005 0.81864994712596E-004 -.56103844615978E-005 0.39212373676639E-004 0.34863182453735E-005 0.37618028760074E-003 -.58028557421148E-012 0.58102016433615E-012 -.36729506233984E-015 0.00000000000000E+000 0.87314177897491E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 111 0.22840989089210E-001 0.56716000672893E-003 -.14609982727608E-002 -.58771469471842E-004 -.12755550003892E-002 -.21581729010390E-003 0.19853187996873E-002 0.89542187861728E-005 -.62935497018000E-005 -.49919839053061E-006 -.32193122539856E-003 -.12778735923811E-002 0.58578794663026E-003 0.82926449344462E-004 -.79394864920231E-005 0.83928530193190E-004 -.51583665986949E-005 0.43548946498678E-004 0.47247863346303E-005 0.38525251356407E-003 -.67176828728678E-012 0.67288403396032E-012 -.55787333677220E-015 0.00000000000000E+000 0.92225740819015E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 112 0.23095611496629E-001 0.61807635386066E-003 -.15455765253367E-002 -.62354353552094E-004 -.13646042735592E-002 -.23042626059824E-003 0.21161013390009E-002 0.10928011371177E-004 -.70016590867216E-005 -.55445402455993E-006 -.31001396925662E-003 -.13729781550438E-002 0.63266996402286E-003 0.89107567825754E-004 -.83287605917267E-005 0.86191846816820E-004 -.47163871541525E-005 0.48474661111953E-004 0.60423258236704E-005 0.39329501631046E-003 -.77842130944233E-012 0.78010231922762E-012 -.84050489264579E-015 0.00000000000000E+000 0.97394033115200E+003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 113 0.23352477324916E-001 0.67301877316237E-003 -.16340446511571E-002 -.66166176547611E-004 -.14603312048174E-002 -.24587272287033E-003 0.22560300887925E-002 0.12986596228581E-004 -.77781354308390E-005 -.61498642583880E-006 -.29465241346856E-003 -.14750923113182E-002 0.68341359966859E-003 0.95804123568486E-004 -.87042448516954E-005 0.88668492924463E-004 -.42880679807767E-005 0.54061585581676E-004 0.74314125537189E-005 0.40012897352181E-003 -.90295324073287E-012 0.90546919404594E-012 -.12579766565317E-014 0.00000000000000E+000 0.10283142023901E+004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 114 0.23611833180817E-001 0.73228041184418E-003 -.17264322404720E-002 -.70223768429009E-004 -.15632461247881E-002 -.26220299301523E-003 0.24057735672774E-002 0.15110021731037E-004 -.86275691413460E-005 -.68114781260244E-006 -.27550988591083E-003 -.15847059170461E-002 0.73836073241684E-003 0.10306502470741E-003 -.90602312771909E-005 0.91371169402966E-004 -.38763207289068E-005 0.60387309167970E-004 0.88829498374905E-005 0.40556181368944E-003 -.10486059259678E-011 0.10523509325146E-011 -.18725032733992E-014 0.00000000000000E+000 0.10855104454641E+004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 115 0.23873941875168E-001 0.79617294391833E-003 -.18227445954693E-002 -.74545519397189E-004 -.16739017102735E-002 -.27946577305605E-003 0.25660491881578E-002 0.17276339730906E-004 -.95544057984655E-005 -.75327516566841E-006 -.25223549170894E-003 -.17023405704640E-002 0.79788580459752E-003 0.11094458443105E-003 -.93903824947860E-005 0.94311701047061E-004 -.34834478560577E-005 0.67534504172711E-004 0.10386234369439E-004 0.40938700316399E-003 -.12192667057243E-011 0.12248155626829E-011 -.27744284792979E-014 0.00000000000000E+000 0.11456675014099E+004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 116 0.24139019841512E-001 0.86500950062793E-003 -.19229329041827E-002 -.79150450802962E-004 -.17928670578298E-002 -.29770751671879E-003 0.27375836384292E-002 0.19461108308057E-004 -.10562551131210E-004 -.83165465041830E-006 -.22447360861168E-003 -.18285193924566E-002 0.86238276912370E-003 0.11950108748817E-003 -.96876435345341E-005 0.97500248057599E-004 -.31113219146866E-005 0.75588322517783E-004 0.11928602986003E-004 0.41138410831106E-003 -.14195578140860E-011 0.14277467002046E-011 -.40944430593097E-014 0.00000000000000E+000 0.12089157385989E+004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 117 0.24407066368996E-001 0.93904988865974E-003 -.20268174742835E-002 -.84054923798025E-004 -.19206378113727E-002 -.31695859970205E-003 0.29209824399194E-002 0.21636123909008E-004 -.11654397304533E-004 -.91644592176196E-006 -.19189494023443E-003 -.19636692794507E-002 0.93221622252977E-003 0.12879062896188E-003 -.99441009707326E-005 0.10094273698569E-003 -.27616596271741E-005 0.84628350029129E-004 0.13494481279858E-004 0.41132278620702E-003 -.16548070525377E-011 0.16668460874320E-011 -.60195174471443E-014 0.00000000000000E+000 0.12753314892322E+004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
 118 0.24677643665050E-001 0.10184118673335E-002 -.21339830297067E-002 -.89267345775969E-004 -.20574887255597E-002 -.33721240548096E-003 0.31165207250040E-002 0.23768191985126E-004 -.12829322573095E-004 -.10075778622738E-005 -.15425519452583E-003 -.21079641878721E-002 0.10076380430227E-002 0.13885627936910E-003 -.10151003246996E-004 0.10463673501574E-003 -.24362420760177E-005 0.94714323166195E-004 0.15064312006066E-004 0.40897760020207E-003 -.19308265810248E-011 0.19484496024850E-011 -.88115107300785E-014 0.00000000000000E+000 0.13448685463631E+004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
